0textId year verbs innerVerbs vedeti:cognition misliti:cognition zdeti:cognition hoteti:volition želeti:volition upati:volition pričakovati:volition moči:moral morati:moral smeti:moral skleniti:cognition videti:perception gledati:perception pogledati:perception slišati:perception ljubiti:affect bati:affect skrbeti:affect skrbeti:affect trpeti:affect 
SLV00473 1895 8855 1122 184 77 44 104 20 8 12 86 111 31 5 139 99 57 63 42 19 7 7 7 
SLV00476 1917 4930 568 51 28 41 36 10 8 8 61 64 7 3 70 61 49 29 24 8 4 4 2 
SLV00478 1918 6619 903 146 60 27 128 7 17 2 73 48 27 6 109 86 38 63 19 22 8 8 9 
SLV00483 1913 18421 2347 389 156 75 301 30 46 13 283 249 53 31 317 95 95 106 30 48 11 11 8 
SLV00496 1904 9750 1103 143 63 53 97 26 16 3 89 105 43 17 96 95 96 51 33 37 11 11 18 
SLV00497 1903 4787 566 57 31 34 33 10 10 0 47 47 21 9 59 75 55 14 17 24 6 6 11 
SLV00498 1912 8440 775 117 34 34 52 11 20 3 60 55 15 13 86 70 105 33 11 17 16 16 7 
SLV00502 1905 5504 573 70 36 20 53 16 10 3 39 62 10 1 67 76 27 30 32 5 6 6 4 
SLV00506 1909 16207 1769 176 63 31 295 38 30 17 118 124 97 17 206 202 85 72 56 63 20 20 39 
SLV00526 1911 15919 1804 111 82 91 108 26 39 20 197 210 59 16 234 219 111 95 92 64 9 9 12 
SLV10001 1904 4319 486 46 40 15 33 5 13 2 39 4 4 2 65 135 23 33 4 12 4 4 3 
SLV10002 1876 5700 633 55 23 12 47 10 7 5 51 81 18 11 79 117 18 28 22 22 11 11 5 
SLV10003 1836 5992 872 128 55 14 103 16 12 1 105 89 21 7 109 52 14 42 26 8 24 24 22 
SLV10004 1905 5468 723 96 34 35 150 19 2 7 61 86 16 5 72 58 34 8 11 15 5 5 4 
SLV10005 1907 23124 1585 210 74 51 115 36 62 5 137 172 65 36 140 117 102 48 104 55 19 19 18 
SLV10006 1910 5992 1133 87 55 55 215 23 13 38 158 95 7 24 122 62 60 39 35 28 5 5 7 
SLV10007 1866 10854 1902 403 173 65 196 32 28 7 202 161 63 8 256 69 50 68 34 42 20 20 5 
SLV10008 1876 3424 594 89 50 25 59 8 13 4 66 62 26 4 64 34 31 17 25 8 4 4 1 
SLV10009 1876 5235 865 113 70 29 117 12 18 7 112 111 32 6 104 39 21 25 15 23 2 2 7 
SLV10010 1873 3162 481 57 32 16 72 9 11 5 72 53 13 5 56 17 16 4 10 19 6 6 2 
SLV10011 1877 3614 593 85 42 17 79 6 11 1 65 52 23 1 80 44 20 17 20 11 6 6 7 
SLV10012 1884 5532 546 58 26 0 125 8 33 19 66 58 11 16 60 11 6 3 15 19 4 4 4 
SLV10013 1904 3966 518 87 49 17 57 5 7 4 43 36 17 4 69 34 15 16 25 8 9 9 7 
SLV10014 1907 6049 1014 142 124 81 70 27 12 2 69 69 10 2 122 62 48 40 95 21 5 5 8 
SLV10015 1914 9003 1251 210 123 55 79 21 32 12 137 120 29 6 137 75 29 33 36 68 16 16 17 
SLV10016 1886 10952 1480 222 117 86 140 28 43 11 122 163 45 18 183 99 21 71 46 21 17 17 10 
SLV10017 1903 44507 6358 560 470 81 1044 57 108 94 772 1006 213 42 561 326 249 282 142 181 52 52 66 
SLV10018 1913 26876 3037 369 147 192 371 51 19 27 318 337 133 27 307 251 136 151 30 96 30 30 15 
SLV10019 1917 12615 1310 181 92 55 107 23 24 14 75 152 32 24 151 128 84 42 16 40 29 29 12 
SLV10020 1898 6316 977 117 93 30 128 15 21 8 107 103 27 9 99 59 42 35 41 21 8 8 6 
SLV10021 1896 3491 516 85 37 28 43 22 15 2 59 36 14 6 56 27 23 5 22 19 3 3 11 
