0textId year verbs innerVerbs know:perception see:perception think:cognition seem:perception feel:affect hear:perception mean:cognition believe:cognition want:volition like:affect love:affect try:volition wish:volition suffer:physiology sleep:physiology blush:physiology 
ENG18950 1895 4291 374 55 74 67 67 51 11 14 5 6 3 4 3 8 3 2 1 
ENG18951 1895 4444 289 64 57 40 26 20 19 8 11 16 8 1 7 1 3 8 0 
ENG18952 1895 5590 507 45 159 75 81 72 26 10 12 7 4 0 0 0 3 13 0 
ENG18953 1895 18557 1639 337 473 163 178 56 144 50 59 21 23 28 11 11 5 80 0 
ENG18954 1895 7407 625 130 95 99 27 63 27 49 23 40 22 16 7 13 5 7 2 
ENG18960 1896 11064 804 180 177 112 70 52 39 20 43 26 20 13 20 19 7 5 1 
ENG18961 1896 6869 524 126 124 65 19 10 42 22 32 16 18 0 9 31 2 8 0 
ENG18970 1897 21474 1371 169 338 175 102 119 150 48 40 44 48 40 21 22 22 24 9 
ENG18972 1897 26336 1540 263 578 131 120 49 156 22 10 0 24 56 17 9 55 42 8 
ENG18973 1897 4884 336 59 72 53 22 21 20 10 18 10 13 16 3 14 1 3 1 
ENG18980 1898 17492 907 181 257 84 33 31 84 33 27 17 17 68 1 18 37 19 0 
ENG19001 1900 11433 942 144 219 159 113 53 79 30 30 21 41 7 11 10 2 21 2 
ENG19004 1900 20590 2072 401 324 342 114 165 62 106 111 137 106 95 25 70 9 3 2 
ENG19005 1900 20510 1431 295 299 159 141 141 70 96 36 55 52 15 27 25 4 13 3 
ENG19010 1901 16210 971 157 241 118 90 64 123 13 28 11 8 32 4 21 16 43 2 
ENG19011 1901 4475 425 69 91 67 43 9 27 32 17 31 13 4 14 4 1 3 0 
ENG19020 1902 11454 954 200 155 184 49 53 42 36 27 53 71 20 23 34 0 3 4 
ENG19060 1906 13447 1282 252 286 167 98 59 59 54 30 89 60 10 23 78 1 14 2 
ENG19070 1907 10571 792 104 184 114 157 65 67 15 17 4 22 5 9 8 14 7 0 
ENG19071 1907 22965 1893 374 319 420 155 129 128 82 60 73 73 13 22 28 8 5 4 
ENG19080 1908 10122 820 121 190 107 122 64 64 55 36 19 10 4 9 13 3 3 0 
ENG19090 1909 23368 1816 315 337 360 200 125 65 64 56 127 59 40 18 23 7 20 0 
ENG19091 1909 12123 895 193 145 125 96 68 49 65 32 37 32 4 11 19 16 3 0 
ENG19100 1910 23090 1757 338 309 281 121 105 89 85 49 145 84 54 20 35 13 21 8 
ENG19111 1911 13320 1162 203 275 183 69 69 122 67 61 31 33 1 14 18 1 13 2 
ENG19120 1912 26326 1963 296 288 372 273 172 59 94 50 182 50 49 22 28 6 21 1 
ENG19121 1912 16686 1413 203 324 180 109 219 79 84 39 29 53 23 14 41 1 3 12 
ENG19150 1915 7666 605 85 185 95 52 32 41 24 24 28 11 1 7 7 1 11 1 
ENG19170 1917 7160 538 87 71 70 83 54 58 29 32 25 5 2 8 7 2 4 1 
ENG19180 1918 19075 1173 171 232 168 110 168 48 79 26 65 39 5 7 41 7 7 0 
ENG19181 1918 5570 442 95 109 60 42 33 23 21 6 22 10 8 2 7 2 2 0 
ENG19190 1919 7791 698 149 112 121 83 41 57 34 35 12 24 4 5 10 5 5 1 
ENG19191 1919 10666 574 132 121 69 52 40 47 30 25 14 14 2 2 5 10 10 1 
ENG19192 1919 31145 2766 395 449 509 427 291 109 133 94 130 69 49 24 61 14 9 3 
ENG19200 1920 34759 3339 649 492 429 359 347 116 107 113 399 125 91 25 22 33 31 1 
ENG19201 1919 5681 519 101 104 83 62 28 27 13 10 19 22 23 8 12 0 7 0 
