
G,aimer,T00,88,1.0097532989099256
G,aimer,T01,40,0.5799623024503407
G,aimer,T02,72,1.0266647654356196
G,aimer,T03,17,0.4371303677037799
G,aimer,T04,16,0.09303407372950342
G,aimer,T05,90,0.605245460659045
G,aimer,T06,52,0.6808064938465567
G,aimer,T07,18,0.270554637005862
G,aimer,T08,112,2.0367339516275687
G,aimer,T09,55,0.26174273069052495
G,aimer,T10,101,0.3909879219572623
G,aimer,T11,20,0.3808798324128737
G,aimer,T12,15,0.2578205568924029
G,aimer,T13,26,0.3431437244291936
G,aimer,T14,75,0.6301991429291656
G,aimer,T15,36,0.574988021082894
G,connaître,T00,29,0.3327596098680436
G,connaître,T01,20,0.2899811512251704
G,connaître,T02,27,0.38499928703835734
G,connaître,T03,9,0.23142195937258936
G,connaître,T04,31,0.1802535178509129
G,connaître,T05,51,0.3429724277067922
G,connaître,T06,22,0.2880335166273894
G,connaître,T07,10,0.15030813166992332
G,connaître,T08,21,0.3818876159301691
G,connaître,T09,117,0.556798172559844
G,connaître,T10,120,0.4645401052957572
G,connaître,T11,13,0.2475718910683679
G,connaître,T12,44,0.7562736335510485
G,connaître,T13,20,0.2639567110993797
G,connaître,T14,58,0.48735400386522143
G,connaître,T15,19,0.3034659000159719
G,croire,T00,68,0.7802639127940333
G,croire,T01,33,0.4784688995215311
G,croire,T02,37,0.5275916155710823
G,croire,T03,28,0.7199794291591669
G,croire,T04,75,0.43609722060704736
G,croire,T05,104,0.699394754539341
G,croire,T06,32,0.41895784236711187
G,croire,T07,17,0.2555238238388697
G,croire,T08,38,0.691034733587925
G,croire,T09,152,0.7233617284538143
G,croire,T10,134,0.5187364509135955
G,croire,T11,25,0.47609979051609214
G,croire,T12,43,0.7390855964248882
G,croire,T13,41,0.5411112577537284
G,croire,T14,80,0.6722124191244433
G,croire,T15,22,0.3513815684395464
G,entendre,T00,48,0.5507745266781412
G,entendre,T01,20,0.2899811512251704
G,entendre,T02,31,0.4420362184514473
G,entendre,T03,22,0.565698122910774
G,entendre,T04,83,0.48261425747179904
G,entendre,T05,131,0.8809683927370545
G,entendre,T06,47,0.6153443309766955
G,entendre,T07,28,0.4208627686757853
G,entendre,T08,16,0.29096199308965265
G,entendre,T09,113,0.537762337600533
G,entendre,T10,105,0.40647259213378756
G,entendre,T11,28,0.5332317653780233
G,entendre,T12,28,0.48126503953248534
G,entendre,T13,75,0.9898376666226739
G,entendre,T14,63,0.5293672800604992
G,entendre,T15,26,0.4152691263376458
G,regarder,T00,46,0.527825588066552
G,regarder,T01,30,0.4349717268377556
G,regarder,T02,35,0.4990731498645373
G,regarder,T03,18,0.4628439187451787
G,regarder,T04,87,0.5058727759041749
G,regarder,T05,130,0.8742434431741762
G,regarder,T06,38,0.4975124378109453
G,regarder,T07,43,0.6463249661806704
G,regarder,T08,17,0.30914711765775593
G,regarder,T09,57,0.27126064817018036
G,regarder,T10,79,0.3058222359863735
G,regarder,T11,11,0.20948390782708054
G,regarder,T12,7,0.12031625988312133
G,regarder,T13,96,1.2669922132770226
G,regarder,T14,38,0.3193008990841106
G,regarder,T15,57,0.9103977000479155
G,savoir,T00,94,1.078600114744693
G,savoir,T01,52,0.7539509931854429
G,savoir,T02,110,1.5685156138599745
G,savoir,T03,53,1.3628182051941373
G,savoir,T04,75,0.43609722060704736
G,savoir,T05,173,1.1634162743779422
G,savoir,T06,58,0.7593610892903901
G,savoir,T07,65,0.9770028558545018
G,savoir,T08,57,1.0365521003818876
G,savoir,T09,252,1.1992576024365869
G,savoir,T10,269,1.0413440693713223
G,savoir,T11,46,0.8760236145496095
G,savoir,T12,70,1.2031625988312133
G,savoir,T13,64,0.8446614755180151
G,savoir,T14,102,0.8570708343836652
G,savoir,T15,92,1.469413831656285
G,sembler,T00,25,0.2868617326448652
G,sembler,T01,23,0.33347832390894594
G,sembler,T02,9,0.12833309567945245
G,sembler,T03,5,0.1285677552069941
G,sembler,T04,81,0.47098499825561113
G,sembler,T05,36,0.242098184263618
G,sembler,T06,15,0.19638648860958366
G,sembler,T07,24,0.360739516007816
G,sembler,T08,32,0.5819239861793053
G,sembler,T09,53,0.2522248132108695
G,sembler,T10,97,0.37550325178073707
G,sembler,T11,25,0.47609979051609214
G,sembler,T12,12,0.2062564455139223
G,sembler,T13,49,0.6466939421934803
G,sembler,T14,33,0.27728762288883285
G,sembler,T15,24,0.3833253473885961
G,trouver,T00,75,0.8605851979345954
G,trouver,T01,52,0.7539509931854429
G,trouver,T02,67,0.9553686011692571
G,trouver,T03,47,1.2085368989457443
G,trouver,T04,111,0.6454238864984301
G,trouver,T05,112,0.7531943510423672
G,trouver,T06,52,0.6808064938465567
G,trouver,T07,44,0.6613557793476628
G,trouver,T08,30,0.5455537370430987
G,trouver,T09,181,0.8613715319088184
G,trouver,T10,212,0.8206875193558376
G,trouver,T11,17,0.3237478575509427
G,trouver,T12,47,0.807837744929529
G,trouver,T13,93,1.2273987066121155
G,trouver,T14,95,0.7982522477102764
G,trouver,T15,32,0.5111004631847947
G,voir,T00,134,1.5375788869764773
G,voir,T01,103,1.4934029288096273
G,voir,T02,121,1.7253671752459718
G,voir,T03,83,2.134224736436102
G,voir,T04,149,0.8663798116060007
G,voir,T05,303,2.0376597175521183
G,voir,T06,148,1.937680020947892
G,voir,T07,96,1.442958064031264
G,voir,T08,77,1.4002545917439535
G,voir,T09,242,1.1516680150383096
G,voir,T10,269,1.0413440693713223
G,voir,T11,75,1.4282993715482766
G,voir,T12,76,1.3062908215881746
G,voir,T13,128,1.6893229510360301
