0textId year verbs innerVerbs sehen:perception wollen:volition müssen:moral wissen:cognition sollen:moral mögen:affect meinen:cognition hören:cognition denken:cognition lieben:affect fühlen:affect verstehen:cognition erkennen:cognition vergessen:cognition brauchen:volition vermögen:volition blicken:perception bemerken:perception 
DEU057.xml 1896 19966 3226 380 510 312 336 314 208 194 88 198 300 124 70 16 42 60 0 50 24 
DEU058.xml 1881 5048 660 91 106 96 61 49 23 41 25 34 23 11 9 10 14 25 16 21 5 
DEU059.xml 1888 6733 1171 233 224 143 108 100 48 27 61 85 53 22 19 9 14 19 0 4 2 
DEU060.xml 1897 2611 385 46 64 47 26 32 32 31 15 32 9 11 8 5 4 6 7 8 2 
DEU061.xml 1888 30537 3701 481 535 486 302 383 253 151 138 190 133 174 140 88 56 53 44 44 50 
DEU062.xml 1895 33250 4806 680 972 568 426 506 286 322 158 154 74 82 186 72 30 92 38 134 26 
DEU063.xml 1894 4315 684 69 135 68 76 57 16 31 15 35 66 29 13 9 12 23 2 14 14 
DEU064.xml 1892 11946 1460 232 228 216 166 136 48 78 102 96 10 22 16 6 38 30 0 34 2 
DEU065.xml 1897 7667 1212 139 193 232 124 120 67 44 34 54 43 31 32 8 17 29 0 28 17 
DEU066.xml 1898 42530 6854 1169 1162 985 822 749 282 254 318 400 233 86 152 31 63 80 0 15 53 
DEU067.xml 1895 48296 6320 1038 918 1154 508 574 236 256 466 204 114 124 138 80 96 156 76 150 32 
DEU068.xml 1898 6178 663 84 99 85 79 55 52 59 15 20 7 4 29 9 7 18 11 11 19 
DEU069.xml 1888 11196 1279 167 225 227 102 141 28 44 32 63 26 29 34 19 28 9 32 60 13 
DEU070.xml 1882 5357 746 127 132 78 92 66 32 17 53 18 53 22 16 12 14 3 2 3 6 
DEU071.xml 1886 6822 944 203 167 135 102 81 64 22 47 20 26 20 20 6 12 13 0 1 5 
DEU072.xml 1887 5637 810 91 132 89 140 102 34 58 30 26 37 13 20 2 7 19 1 4 5 
DEU073.xml 1899 10976 1724 241 253 158 234 143 60 121 71 87 116 53 49 12 28 36 1 30 31 
DEU074.xml 1889 9978 1534 298 186 176 115 138 63 55 54 126 102 87 33 19 20 15 6 5 36 
DEU075.xml 1896 7063 1088 222 170 100 96 98 48 74 43 42 39 41 22 9 8 28 2 29 17 
DEU076.xml 1908 39624 5034 818 814 736 508 464 278 144 162 294 86 92 138 54 82 84 56 130 94 
DEU077.xml 1903 9213 1639 258 298 191 188 182 76 34 46 127 51 98 21 8 28 27 3 2 1 
DEU078.xml 1919 28718 3898 690 638 642 396 466 92 96 132 192 54 116 128 72 50 60 16 32 26 
DEU079.xml 1910 8427 1242 283 121 168 178 63 33 70 49 68 33 55 27 28 34 7 5 6 14 
DEU080.xml 1907 9280 1434 318 202 210 146 92 26 88 78 108 26 48 24 4 14 16 4 2 28 
