;Unnamed: 0;0TextId;year;author-gender;verbs;innerVerbs;sehen:perception;wollen:volition;müssen:moral;wissen:cognition;sollen:moral;mögen:affect;meinen:cognition;hören:perception;denken:cognition;lieben:affect;fühlen:affect;verstehen:cognition;erkennen:cognition;vergessen:cognition;brauchen:volition;vermögen:volition;blicken:perception;bemerken:perception
250;250;k00100000127;1871;f;10409;822;287;10;1;148;0;38;21;90;59;30;59;38;24;25;31;9;27;25
251;251;k00100000133;1903;f;9960;879;259;20;3;122;6;6;14;103;140;43;83;31;10;24;31;4;77;7
252;252;k00200000418;1839;m;4367;330;119;7;0;57;1;20;17;29;36;5;15;10;16;10;19;11;12;3
253;253;k00200000430;1904;m;10315;596;209;31;2;93;1;14;41;87;46;40;35;24;10;11;16;7;22;13
254;254;k00200000342;1890;m;4294;285;88;9;1;46;1;8;34;42;16;8;5;7;4;3;20;4;16;6
255;255;k00200002597;1908;f;6169;485;162;12;1;91;2;9;37;65;43;44;15;38;6;14;16;2;7;11
256;256;k00200000343;1890;m;11615;772;250;31;5;152;13;6;64;105;68;45;16;16;21;22;32;4;20;12
257;257;k00100000132;1899;f;2972;256;78;8;0;45;2;1;9;35;38;6;17;12;8;12;15;1;14;1
258;258;k00100000126;1868;f;3614;290;64;3;0;54;0;13;11;42;16;27;31;13;5;7;6;4;15;8
259;259;k00200000182;1911;f;11173;1149;343;27;0;201;0;24;35;122;252;64;116;39;25;21;23;8;6;15
260;260;k00200001288;1919;m;13589;900;306;26;2;149;6;30;89;138;91;13;59;37;5;24;16;16;6;14
261;261;k00200002965;1868;m;6889;382;123;12;0;70;4;6;16;48;28;16;15;5;24;13;7;3;43;6
262;262;k00100000318;1867;m;12369;810;211;24;1;241;2;19;38;115;95;20;55;25;16;11;31;13;66;12
263;263;k00200002742;1890;m;8623;615;198;17;2;96;1;27;32;72;74;4;50;25;12;24;17;4;38;12
264;264;k00200001505;1854;m;10116;768;282;22;1;119;13;26;25;139;79;12;34;17;30;12;32;14;58;11
265;265;k00100000330;1912;f;2425;271;52;9;0;71;0;2;20;33;54;37;13;12;6;8;13;0;0;1
266;266;k00200001511;1920;f;9285;1172;455;18;1;214;0;43;29;133;112;54;113;66;32;6;21;26;41;6
267;267;k00100000324;1896;m;5633;432;128;18;0;143;2;5;55;79;35;4;17;8;8;9;23;1;2;2
268;268;k00200000169;1902;f;6959;508;173;19;1;91;1;11;12;94;76;6;42;24;6;19;28;4;7;6
269;269;k00100000442;1909;m;20453;951;233;44;1;171;11;38;114;124;77;29;50;32;40;20;32;19;64;12
270;270;k00200002187;1912;m;13647;918;292;28;2;185;0;65;29;109;68;31;37;57;25;31;66;7;42;21
271;271;k00200002805;1912;m;7866;879;240;21;0;179;0;14;79;116;86;33;60;40;18;24;39;3;34;10
272;272;k00200000974;1898;m;15172;1044;386;9;0;135;8;19;34;218;93;27;46;46;47;31;25;19;20;8
273;273;k00100000287;1786;m;2852;191;49;5;2;31;1;9;5;28;25;2;20;5;6;1;8;2;15;9
274;274;k00200000960;1915;m;6476;425;115;8;1;83;3;13;10;67;68;14;10;19;12;14;14;2;29;11
275;275;k00200002811;1910;m;9409;851;302;17;1;147;0;11;121;93;60;20;44;36;8;29;36;1;20;10
276;276;k00200000035;1869;m;6738;498;140;11;0;110;4;9;17;82;27;10;33;33;22;14;8;5;7;14
277;277;k00100000278;1891;m;4536;263;70;6;0;50;3;4;13;33;21;33;14;8;8;15;5;1;26;1
278;278;k00200000747;1838;m;10424;591;156;11;1;111;7;55;25;73;50;24;48;26;44;22;7;21;45;12
279;279;k00200000009;1854;m;28763;2534;644;98;8;562;7;50;249;346;265;81;91;123;69;82;108;7;66;42
280;280;k00200002178;1884;m;9141;721;249;20;1;156;0;10;81;66;103;26;10;20;7;9;30;3;15;31
281;281;k00100000244;1857;m;10931;1333;304;108;1;258;48;19;188;147;192;5;45;17;16;40;54;8;8;12
282;282;k00100000250;1885;f;11069;915;381;17;3;192;0;40;55;113;80;15;21;24;11;16;36;5;20;16
283;283;k00200002391;1913;m;7108;470;209;14;2;49;9;6;44;83;39;36;11;23;4;9;10;2;5;3
284;284;k00200000586;1899;m;18156;1621;594;46;1;353;1;17;70;192;157;50;69;124;20;27;110;3;13;46
285;285;k00100000085;1788;f;5140;371;89;13;0;26;5;3;3;61;56;69;65;7;5;4;10;3;0;6
286;286;k00100000091;1868;m;13489;1412;394;45;2;208;2;100;86;222;196;21;45;36;12;56;58;42;31;59
287;287;k00200001129;1910;m;8318;700;238;23;0;166;0;1;36;89;78;37;17;20;9;12;33;0;10;4
288;288;k00200002434;1908;f;9782;1103;346;13;1;171;0;17;43;126;194;9;82;63;28;11;34;9;97;18
289;289;k00100000046;1829;m;10177;539;115;4;0;116;1;29;8;77;74;68;38;24;24;22;15;18;13;25
290;290;k00200003070;1856;m;24154;1429;433;29;4;313;5;48;68;259;80;56;56;70;62;36;29;33;50;56
291;291;k00200001667;1860;m;11990;651;177;15;0;152;2;20;26;138;32;15;26;39;33;13;13;18;23;24
292;292;k00100000052;1914;f;8940;555;169;39;0;75;48;13;57;62;65;7;9;12;5;14;32;2;29;3
293;293;k00200002453;1888;m;6262;518;137;7;0;123;1;12;24;73;36;53;25;31;11;12;21;4;25;19
294;294;k00100000009;1885;m;11171;749;229;47;0;147;23;38;32;64;85;5;25;27;6;22;35;16;59;5
295;295;k00200002321;1902;m;13273;1204;450;14;3;178;2;40;49;153;112;122;67;62;51;14;44;26;34;17
296;296;k00200001628;1920;f;3302;329;111;6;0;40;1;1;18;23;35;25;41;9;9;14;15;1;4;4
297;297;k00200002447;1907;m;8123;543;122;35;2;144;9;19;15;79;68;18;16;23;7;8;24;8;29;7
298;298;k00200003017;1788;f;10085;789;245;25;2;108;5;22;11;135;92;33;96;40;53;27;13;13;27;10
299;299;k00100000021;1849;f;8560;674;177;12;3;120;6;20;29;105;43;19;38;41;32;27;13;6;60;37
300;300;k00200001172;1791;m;4746;468;182;15;0;46;4;3;6;51;43;28;64;8;11;17;2;3;28;11
301;301;k00200000287;1900;m;10693;970;337;10;0;165;0;18;43;138;129;41;70;43;23;21;48;5;22;34
302;302;k00200001199;1855;m;14012;1395;427;52;0;238;18;62;185;206;83;5;56;72;24;45;36;20;69;47
303;303;k00200001827;1845;m;8105;685;207;23;0;119;3;17;34;89;73;22;50;41;11;26;31;9;25;7
304;304;k00200000293;1920;m;8678;900;335;15;2;180;0;11;45;152;72;11;35;37;13;16;28;4;59;20
305;305;k00200001358;1911;m;19992;1295;612;26;2;179;0;7;41;221;173;26;26;21;41;37;48;3;41;1
306;306;k00200002889;1885;m;7191;465;147;9;0;102;3;13;27;71;27;10;33;19;20;22;10;8;17;17
307;307;k00200002645;1913;f;4202;251;79;5;0;44;0;7;19;31;32;3;27;18;12;9;7;2;11;1
308;308;k00200002123;1887;f;9213;978;229;27;0;254;0;9;110;157;130;13;32;39;8;19;30;4;28;25
309;309;k00100000237;1847;f;4079;401;99;6;3;47;0;11;10;40;41;91;35;19;4;2;5;2;29;6
310;310;k00200001370;1856;m;15515;1018;277;21;0;188;0;48;41;93;144;21;59;44;72;25;46;19;88;117
311;311;k00200001416;1885;m;17023;1638;377;25;1;264;5;21;166;278;148;102;47;73;56;26;57;13;95;100
312;312;k00100000223;1792;m;4592;217;43;4;0;54;1;14;8;32;19;11;17;15;8;10;5;2;9;1
313;313;k00200000907;1876;m;22530;1371;499;37;0;233;2;42;41;175;122;94;45;59;49;16;28;32;156;29
314;314;k00200002862;1912;f;9685;838;338;13;1;124;8;19;55;127;108;31;36;12;28;25;22;7;6;15
315;315;k00200002731;1878;m;7928;572;177;10;0;106;0;24;11;67;57;9;42;44;42;9;8;7;39;39
316;316;k00100000343;1902;m;6535;581;221;19;0;94;1;6;25;77;59;6;29;29;6;27;23;0;18;22
317;317;k00200001576;1897;m;9470;1040;272;17;0;180;0;21;65;123;119;104;65;29;11;23;21;10;104;30
318;318;k00100000425;1848;m;5099;417;116;6;0;88;4;6;21;41;46;40;22;26;11;13;8;3;14;22
319;319;k00100000357;1845;f;11164;970;327;15;1;131;1;66;37;108;91;71;70;38;27;55;7;49;30;28
320;320;k00100000380;1845;m;5051;415;173;15;1;50;0;13;21;46;44;21;2;10;22;9;9;7;22;7
321;321;k00200002902;1905;f;6147;474;218;10;0;64;2;3;35;71;37;5;11;20;2;14;12;0;11;15
322;322;k00100000394;1911;m;6093;272;72;15;0;29;10;5;10;60;32;0;2;6;7;8;36;0;0;2
323;323;k00200001748;1902;f;4928;430;160;10;1;84;2;2;31;57;51;14;8;16;3;13;14;1;5;9
324;324;k00200002241;1844;m;26718;2091;693;36;5;343;15;40;156;359;209;95;104;72;70;66;81;12;55;42
325;325;k00100000169;1787;m;10672;715;201;39;4;122;2;15;13;100;97;45;46;26;57;12;36;6;31;12
326;326;k00200003163;1885;m;14362;1361;365;57;4;311;2;76;84;128;125;81;34;69;34;28;64;18;70;29
327;327;k00200001760;1893;m;12583;919;219;36;1;216;20;12;70;162;111;5;8;43;16;21;51;5;25;20
328;328;k00200002282;1890;m;11652;875;367;18;1;185;2;27;16;75;83;8;21;28;44;12;32;17;43;20
329;329;k00200000481;1889;m;17260;949;275;22;1;178;24;98;44;148;123;25;41;16;56;51;16;57;30;14
330;330;k00100000182;1795;f;11539;818;316;5;0;102;4;21;6;140;64;63;96;22;42;19;33;6;1;18
331;331;k00100000196;1898;f;4811;463;151;12;0;68;2;14;32;34;39;10;30;30;5;11;16;6;43;9
332;332;k00100000197;1793;m;15473;1121;407;55;1;160;13;25;37;120;169;124;54;28;5;30;58;18;37;14
333;333;k00100000183;1796;f;5284;340;110;6;0;49;0;10;1;33;36;36;33;11;13;18;11;4;12;11
334;334;k00200000480;1880;m;12477;907;253;22;1;160;16;30;37;173;94;36;43;36;23;34;36;19;19;35
335;335;k00200001952;1896;m;7544;603;205;4;0;128;2;15;37;64;57;29;44;14;10;26;25;9;36;18
336;336;k00200002283;1890;m;21937;1610;562;38;10;240;9;46;58;239;149;37;43;79;59;31;29;24;113;94
337;337;k00200003162;1885;m;19107;1838;423;75;4;402;6;106;107;234;166;105;68;83;36;32;100;13;109;44
338;338;k00100000168;1915;m;10371;1020;564;14;1;143;0;11;13;109;114;41;83;15;23;44;15;4;29;6
339;339;k00200002532;1913;m;10381;1191;319;34;1;217;2;20;169;127;180;39;60;60;9;28;58;0;30;4
340;340;k00200001749;1903;f;4772;354;169;5;0;48;0;2;21;53;44;9;6;9;11;8;9;0;6;8
341;341;k00100000381;1846;m;6424;524;256;6;0;73;1;20;7;71;56;16;8;7;32;13;20;4;15;11
342;342;k00200002903;1916;f;8470;665;278;23;1;120;16;14;41;98;57;19;9;26;10;27;15;8;9;4
343;343;k00200002095;1880;m;9743;906;217;29;2;210;0;33;46;93;73;114;41;35;7;18;31;7;42;25
344;344;k00200000696;1891;m;8161;642;138;15;2;143;8;16;37;67;95;30;25;30;23;9;20;7;54;2
345;345;k00100000430;1784;m;3577;192;62;8;0;30;2;5;1;34;16;23;8;7;10;9;13;4;17;1
346;346;k00200000669;1817;m;7874;552;114;30;1;108;4;14;37;106;65;20;36;17;38;7;10;5;21;12
347;347;k00100000342;1901;m;2347;290;113;8;1;10;0;5;2;38;19;2;44;23;9;9;4;3;17;11
348;348;k00100000424;1846;m;5731;475;130;14;1;100;1;12;19;45;63;28;15;30;16;17;11;2;23;29
349;349;k00200000127;1899;m;4055;301;108;8;0;60;1;2;20;41;50;7;2;8;1;9;18;0;6;5
350;350;k00200002730;1883;m;13918;829;254;11;0;174;0;28;20;90;67;42;67;28;75;24;10;9;76;45
351;351;k00200000655;1919;m;2285;181;80;6;0;21;4;7;6;21;9;5;15;7;6;3;5;6;7;4
352;352;k00100000418;1828;m;4934;409;152;20;0;54;12;11;24;52;42;12;10;20;9;7;2;7;13;12
353;353;k00200000133;1893;m;2952;254;77;5;0;42;1;5;11;29;37;17;18;10;6;8;8;4;11;3
354;354;k00200002863;1904;f;9911;883;347;16;1;152;1;12;62;119;140;25;44;23;15;31;21;3;8;11
355;355;k00200000090;1828;m;14703;1182;357;71;3;236;12;38;125;157;115;9;40;32;30;23;31;23;8;66
356;356;k00200002693;1898;m;15459;1504;856;38;1;177;1;12;50;152;164;11;22;33;44;35;38;2;11;9
357;357;k00100000222;1792;m;2242;100;20;7;0;8;0;3;6;17;19;6;13;5;8;7;7;3;1;0
358;358;k00200001417;1885;m;19355;1925;479;31;2;355;5;48;185;275;205;59;67;77;63;22;79;38;123;118
359;359;k00100000236;1845;f;12829;1203;335;15;1;162;4;54;70;117;153;123;96;28;37;43;20;36;57;41
360;360;k00200000735;1881;m;12565;875;357;8;2;126;7;6;36;198;47;9;21;35;24;12;32;2;43;5
361;361;k00200000721;1900;m;12869;1005;390;12;3;148;7;21;61;191;83;15;23;18;8;19;67;4;53;2
362;362;k00200002888;1885;m;7195;496;147;8;1;107;1;17;28;80;45;2;38;17;30;11;10;11;24;20
363;363;k00200001198;1834;m;3913;169;34;0;0;20;2;26;11;17;20;3;13;12;8;1;9;20;11;21
364;364;k00100000020;1848;f;6282;479;114;5;1;86;0;11;16;47;47;24;59;42;15;10;6;5;32;34
365;365;k00200001173;1795;m;9807;874;315;41;0;144;7;15;12;146;89;17;45;17;32;35;29;11;28;17
366;366;k00200003016;1788;f;10890;806;214;30;0;130;5;15;3;128;92;36;121;29;65;21;15;14;47;18
367;367;k00200002446;1883;m;19464;1381;381;66;3;283;24;22;89;167;139;42;43;65;25;35;62;4;99;40
368;368;k00200002334;1913;m;11540;793;279;16;0;164;3;32;16;102;55;30;23;25;23;44;15;18;44;8
369;369;k00200000253;1882;m;11936;830;242;13;0;167;7;50;66;121;89;24;30;28;39;22;28;17;17;35
370;370;k00200002444;1884;m;13616;1103;310;60;0;218;17;16;50;118;110;73;49;42;20;32;29;10;72;28
371;371;k00200002322;1883;m;13685;1293;411;19;0;202;1;65;39;185;126;69;88;55;46;18;47;37;55;28
372;372;k00200002450;1895;m;6952;521;137;11;0;106;3;26;33;64;55;25;46;21;7;14;14;20;26;17
373;373;k00200001171;1791;m;6655;559;206;12;1;55;2;16;5;62;50;10;77;18;18;36;12;15;33;13
374;374;k00100000022;1843;m;6471;411;161;12;1;78;2;6;10;48;64;7;21;8;9;13;15;0;27;3
375;375;k00200000284;1913;m;14322;1747;599;18;1;282;1;18;52;237;259;21;149;129;33;46;55;3;37;87
376;376;k00200001818;1917;m;5746;374;123;22;0;47;0;6;9;42;45;29;24;2;16;5;5;0;45;4
377;377;k00200002120;1896;f;3413;306;91;0;1;65;0;8;25;40;30;5;13;10;11;18;4;1;8;29
378;378;k00200002646;1883;m;11787;833;243;21;0;156;14;38;57;135;89;17;34;31;33;23;39;13;13;17
379;379;k00200000045;1897;m;5907;598;167;19;0;120;1;14;19;93;70;23;41;34;6;25;21;1;3;12
380;380;k00200002652;1912;m;1691;126;46;0;1;20;0;5;10;10;14;5;1;2;4;8;7;5;2;3
381;381;k00200002134;1918;m;22224;1737;733;34;0;233;5;41;80;340;118;23;124;63;55;16;47;20;46;25
382;382;k00200000723;1886;m;9374;810;270;7;2;141;6;27;30;162;101;16;37;26;20;12;24;13;33;1
383;383;k00200001415;1885;m;21901;2165;610;23;1;343;14;42;170;331;191;57;103;70;104;17;71;27;149;159
384;384;k00100000220;1798;m;9942;971;318;15;0;124;6;23;16;115;104;50;92;41;37;64;24;19;39;37
385;385;k00200001373;1874;f;11790;922;373;11;3;186;4;37;65;111;80;41;21;36;10;36;25;19;8;22
386;386;k00200001401;1912;m;2652;181;53;1;0;31;0;2;4;58;9;22;13;12;3;3;5;0;11;3
387;387;k00100000234;1842;f;4221;466;150;8;1;44;0;17;14;41;62;66;57;13;7;17;5;14;13;12
388;388;k00200002849;1903;m;7161;606;237;23;0;122;0;6;25;108;56;2;19;16;13;29;25;4;8;15
389;389;k00200002861;1902;f;10504;899;368;21;0;148;8;29;64;109;112;19;37;16;18;34;18;4;11;17
390;390;k00200002875;1920;m;13289;704;249;26;0;112;15;9;20;91;65;42;42;22;15;13;26;7;40;3
391;391;k00100000368;1898;m;7951;754;203;33;1;183;2;24;58;88;64;55;29;28;15;8;34;8;34;15
392;392;k00200000643;1802;f;807;76;18;1;0;10;0;8;1;14;9;10;2;3;2;6;1;3;4;2
393;393;k00200002732;1880;m;11283;821;267;13;0;147;0;23;19;105;81;16;56;58;47;27;13;12;85;74
394;394;k00200002726;1911;m;10307;125;22;5;0;58;0;5;48;47;0;5;0;0;0;1;0;1;3;0
395;395;k00100000354;1917;m;4255;338;105;1;0;51;2;30;17;29;42;13;43;12;14;2;1;9;23;20
396;396;k00200001575;1911;m;11624;1000;365;20;1;144;6;14;81;103;95;15;61;36;14;18;25;3;123;7
397;397;k00200002097;1889;m;6204;548;165;21;2;136;0;24;19;68;59;26;17;22;7;8;22;2;22;11
398;398;k00100000397;1795;m;19485;1744;392;47;1;299;15;14;39;203;299;151;181;58;31;116;36;7;28;77
399;399;k00100000383;1865;m;36226;1571;672;72;1;241;2;43;59;272;157;58;2;28;108;32;54;31;95;1
400;400;k00200003160;1877;m;12455;1079;301;31;0;269;0;36;58;134;103;57;24;55;23;22;38;6;49;28
401;401;k00100000142;1846;m;18633;1334;471;48;1;264;14;26;54;251;120;23;36;35;54;24;51;7;29;57
402;402;k00200000482;1878;m;10786;866;246;15;0;132;12;35;23;129;120;29;53;38;29;28;41;20;26;40
403;403;k00200001944;1912;m;8184;575;156;29;0;92;2;22;33;81;74;11;11;12;35;9;22;11;62;13
404;404;k00200002295;1839;m;9197;490;198;6;0;83;1;10;5;79;52;32;31;13;50;10;13;7;24;13
405;405;k00100000195;1897;f;2368;213;52;3;1;27;0;9;30;30;42;5;10;8;7;4;7;5;13;2
406;406;k00100000181;1797;m;5666;428;102;17;3;62;15;9;12;50;52;39;48;15;15;17;10;2;6;1
407;407;k00100000180;1795;m;1540;133;26;5;1;16;5;2;1;14;21;5;21;4;5;10;1;0;4;3
408;408;k00100000194;1896;f;6356;627;224;12;0;96;2;11;57;48;43;37;39;21;8;6;28;2;38;14
409;409;k00200001951;1902;m;3616;306;89;9;0;67;1;7;9;49;39;10;9;3;12;13;3;1;16;12
410;410;k00200002280;1904;m;11606;1054;425;10;1;203;6;42;15;104;95;10;60;44;48;16;38;20;36;25
411;411;k00200001945;1919;m;12588;933;238;52;0;189;11;61;51;147;115;27;26;22;33;17;32;28;85;8
412;412;k00200000483;1881;m;22001;1538;493;20;0;227;13;71;48;268;164;61;112;73;64;46;75;54;49;75
413;413;k00100000143;1848;m;19681;1508;483;61;1;330;8;39;85;233;101;14;61;38;83;25;66;8;68;25
414;414;k00200003161;1877;m;15623;1441;382;51;4;324;1;56;66;178;140;117;47;67;23;29;58;14;69;18
415;415;k00200002519;1910;f;8380;778;247;12;2;201;0;9;61;82;88;28;29;52;25;22;22;5;12;23
416;416;k00100000157;1835;m;4449;351;73;6;0;70;0;2;3;62;39;35;26;20;15;14;9;0;22;4
417;417;k00200002243;1892;f;8204;567;122;11;0;112;4;14;21;81;63;81;53;27;15;12;19;4;30;20
418;418;k00200003149;1914;m;18317;1324;455;41;1;239;9;31;78;180;147;13;39;66;17;18;22;21;114;31
419;419;k00100000382;1857;m;29881;2326;1184;37;0;307;7;93;75;258;177;148;38;60;125;29;64;36;134;43
420;420;k00200000865;1867;m;25258;1538;549;49;1;234;12;81;55;297;100;50;56;65;127;31;47;28;87;33
421;421;k00200000695;1873;m;5067;433;132;9;1;79;3;13;21;50;53;19;20;15;16;9;16;2;37;3
422;422;k00200002096;1877;m;11272;959;266;38;1;235;0;32;42;123;89;59;20;44;19;15;35;10;51;28
423;423;k00200001574;1904;m;13034;1282;450;22;1;185;3;15;140;133;170;28;82;26;20;23;41;2;103;10
424;424;k00100000341;1897;m;6334;599;146;20;0;88;3;10;15;91;74;52;34;62;3;23;10;6;28;11
425;425;k00100000355;1918;m;4362;331;90;2;0;75;3;14;8;50;44;23;16;11;16;13;4;7;16;13
426;426;k00200000130;1896;m;2087;186;55;6;0;34;0;4;10;12;39;9;14;7;4;2;4;3;1;8
427;427;k00100000369;1827;m;33577;1988;684;88;1;375;28;67;114;289;207;117;50;60;88;62;33;52;59;36
428;428;k00200002860;1899;f;10471;876;327;13;1;159;2;36;55;105;104;28;33;32;25;25;16;10;17;19
429;429;k00200001399;1891;m;10199;661;162;22;0;149;3;21;16;108;60;28;26;43;32;23;24;4;64;8
430;430;k00200002848;1908;m;6380;526;181;7;0;108;0;17;15;104;62;2;19;10;20;21;34;8;2;20
431;431;k00100000235;1843;f;12555;1202;336;20;1;165;2;71;30;130;142;142;136;27;31;29;30;63;31;40
432;432;k00100000221;1791;m;10930;522;201;20;1;81;6;10;15;107;66;15;32;46;16;14;29;4;14;9
433;433;k00200001414;1891;m;26428;2284;836;66;0;359;28;65;146;407;166;13;52;80;98;12;108;53;110;100
434;434;k00200000044;1909;m;10253;1329;346;16;4;337;3;17;63;171;214;20;57;75;23;29;41;0;15;24
435;435;k00100000209;1854;m;31537;2323;1195;44;0;350;3;96;32;233;210;83;185;95;55;79;69;27;56;65
436;436;k00200000736;1894;m;23033;1625;533;35;6;230;16;29;104;368;68;11;43;30;49;25;37;14;228;1
437;437;k00200001428;1900;m;6115;709;200;17;2;125;1;13;13;45;96;90;51;75;18;17;23;9;3;5
438;438;k00200002647;1894;m;17391;1162;329;13;0;222;2;31;53;262;124;81;66;53;48;34;42;17;21;38
439;439;k00200003015;1788;f;9694;773;229;28;0;143;6;14;9;136;88;23;109;16;42;26;16;10;25;13
440;440;k00200001164;1915;m;1849;176;52;2;0;34;0;3;3;19;20;22;4;0;9;8;7;3;6;0
441;441;k00200001170;1795;m;7030;637;191;16;0;79;4;15;28;103;63;29;58;15;25;33;14;11;29;13
442;442;k00200001616;1901;m;10756;992;314;24;0;174;0;38;36;104;95;58;83;64;47;11;32;14;46;6
443;443;k00100000023;1843;m;3371;251;79;8;1;50;1;3;23;39;29;12;7;12;10;2;7;1;5;8
444;444;k00200002445;1894;m;9482;622;182;33;1;119;12;25;14;103;62;17;32;31;18;12;22;5;33;17
445;445;k00100000027;1853;m;8748;624;163;33;1;117;1;16;23;103;77;2;52;27;31;24;12;8;5;13
446;446;k00200002327;1909;m;10950;932;218;23;1;171;2;11;104;86;83;47;58;51;18;15;45;6;49;51
447;447;k00200000242;1905;f;10710;950;330;27;3;222;0;12;52;107;139;61;35;33;18;20;50;0;8;12
448;448;k00200002496;1893;m;12394;920;345;27;1;142;2;22;31;102;77;54;27;48;32;24;42;7;23;37
449;449;k00200001376;1870;f;15148;1108;493;12;1;196;3;40;48;159;106;26;47;33;10;32;19;17;32;34
450;450;k00200001410;1867;m;21451;2086;742;83;3;373;17;50;87;348;178;7;37;76;48;15;113;31;94;105
451;451;k00100000225;1855;m;7852;567;200;10;0;87;2;19;17;98;72;17;33;15;24;13;23;5;41;10
452;452;k00200001404;1916;m;21504;1694;676;47;4;241;4;10;64;336;177;41;63;80;46;31;94;7;14;48
453;453;k00100000219;1791;m;8142;553;245;15;0;69;6;15;5;61;44;4;54;12;19;16;33;15;25;12
454;454;k00200002125;1892;f;8726;656;242;26;3;84;2;6;61;109;87;9;19;29;14;23;24;3;11;31
455;455;k00200002131;1909;m;10968;717;321;10;2;96;1;18;20;113;43;9;43;28;24;16;8;5;27;27
456;456;k00200000040;1842;m;2950;197;52;6;0;45;0;10;11;18;29;7;11;17;4;5;5;5;5;12
457;457;k00200002657;1899;f;6607;494;158;9;1;83;0;5;6;69;68;36;12;15;11;12;15;3;41;16
458;458;k00200002858;1911;m;11141;818;266;35;1;150;16;50;43;110;140;10;43;43;32;11;31;16;19;26
459;459;k00200002694;1911;m;5241;478;275;6;0;48;1;6;19;60;57;1;9;5;9;7;6;0;2;1
460;460;k00200000083;1757;m;9605;1185;291;17;0;252;1;8;171;108;164;156;41;64;2;27;56;5;29;42
461;461;k00100000437;1772;m;12433;751;315;24;0;131;7;28;13;105;90;49;35;20;30;34;35;21;5;16
462;462;k00100000345;1855;m;19623;827;249;32;1;211;52;33;31;107;97;12;13;40;20;28;28;5;9;2
463;463;k00100000423;1919;m;33715;2417;753;64;1;526;14;39;41;286;299;142;96;106;49;81;70;18;127;43
464;464;k00200000108;1920;m;4732;318;93;6;0;61;0;5;17;45;26;24;40;8;9;9;10;1;11;3
465;465;k00200002737;1852;m;26458;2485;592;163;10;590;15;55;290;282;346;53;42;79;29;55;173;25;11;16
466;466;k00100000379;1843;m;4249;362;160;4;0;56;0;8;19;36;30;28;4;3;9;7;4;3;29;4
467;467;k00200002904;1901;m;11583;1068;302;15;3;178;3;46;80;124;80;51;71;27;73;29;24;33;102;22
468;468;k00200002092;1888;m;12609;1072;274;35;3;261;0;73;56;118;89;62;45;59;21;39;32;20;52;18
469;469;k00200002086;1918;m;5782;251;105;4;0;34;0;11;7;37;23;3;18;3;5;9;27;1;4;6
470;470;k00200000478;1892;m;26006;1815;485;19;0;335;10;47;75;355;178;80;123;89;120;69;80;30;68;64
471;471;k00200003171;1919;m;6745;472;200;18;0;81;0;9;12;33;30;23;47;15;43;4;18;3;7;7
472;472;k00200003165;1886;f;4052;387;112;14;1;95;1;4;24;53;76;0;3;19;7;17;8;1;6;7
473;473;k00100000147;1809;m;10707;792;309;20;1;134;2;40;9;83;120;27;72;23;18;12;20;18;39;42
474;474;k00200002253;1912;m;5188;41;9;1;0;4;0;3;9;8;14;1;1;0;0;0;4;0;0;0
475;475;k00200000336;1882;m;7052;373;133;7;3;59;8;12;31;70;22;22;5;10;10;4;6;5;18;4
476;476;k00200003159;1889;m;13515;1263;277;37;3;314;0;56;101;138;142;67;28;75;26;23;51;9;76;33
477;477;k00200002247;1901;m;3987;77;25;3;0;24;0;1;44;19;0;0;0;0;0;3;0;0;1;2
478;478;k00100000190;1838;m;29943;2152;805;76;1;390;10;58;92;375;207;48;127;110;54;35;58;20;90;24
479;479;k00100000184;1807;f;5882;430;160;6;0;47;2;16;6;58;40;26;24;25;28;11;9;7;45;10
480;480;k00200001969;1896;m;7694;607;224;18;1;107;5;32;10;97;47;18;43;20;11;14;11;6;36;8
481;481;k00200001941;1907;m;12112;951;337;18;0;199;1;24;24;145;98;37;26;37;35;18;29;14;43;25
482;482;k00200000487;1880;m;11813;844;227;17;0;140;12;35;45;150;98;34;56;41;30;22;35;27;30;24
483;483;k00200001955;1900;m;5551;421;126;9;0;75;1;8;18;71;37;21;26;17;12;29;14;2;22;21
484;484;k00200000486;1894;m;18482;1193;297;24;0;225;10;33;73;204;128;48;107;54;70;54;37;13;27;51
485;485;k00100000185;1822;f;11663;787;290;16;1;94;6;53;26;105;72;22;37;31;35;23;30;25;84;33
486;486;k00100000191;1779;m;3566;307;80;13;1;59;6;13;1;28;25;26;47;10;7;6;7;3;11;3
487;487;k00200001029;1905;m;3621;302;129;12;0;53;1;9;31;27;18;1;17;15;10;7;12;2;5;2
488;488;k00200000337;1890;m;8378;459;158;14;1;67;5;12;36;71;39;17;2;22;16;3;19;4;27;10
489;489;k00200002520;1825;m;6669;491;186;6;0;57;0;22;11;73;50;7;23;20;29;15;10;10;45;28
490;490;k00200003158;1881;m;16111;1471;386;61;3;334;7;43;77;155;163;99;41;102;25;29;51;4;79;35
491;491;k00100000146;1795;m;26438;2106;826;43;0;386;8;35;24;224;255;85;175;70;77;38;47;13;49;102
492;492;k00200003164;1884;f;4189;365;139;9;0;78;0;1;20;47;45;2;6;13;7;9;21;0;8;11
493;493;k00100000152;1843;m;17936;2021;528;146;2;535;6;60;207;175;234;23;59;43;26;58;78;22;10;6
494;494;k00200002508;1822;m;4873;394;150;7;1;83;2;12;8;36;31;27;12;12;18;11;1;1;24;17
