;Unnamed: 0;0TextId;year;author-gender;verbs;innerVerbs;sehen:perception;wollen:volition;müssen:moral;wissen:cognition;sollen:moral;mögen:affect;meinen:cognition;hören:perception;denken:cognition;lieben:affect;fühlen:affect;verstehen:cognition;erkennen:cognition;vergessen:cognition;brauchen:volition;vermögen:volition;blicken:perception;bemerken:perception
73;73;k00200000542;1905;m;8199;739;276;18;3;94;3;24;13;99;110;28;46;42;8;12;19;2;45;9
74;74;k00100000041;1889;f;8794;918;330;11;2;112;1;15;31;95;130;87;87;29;20;19;16;2;7;31
75;75;k00200001112;1897;m;6086;549;170;19;1;108;3;12;9;91;45;10;42;26;38;10;20;6;25;4
76;76;k00100000055;1892;f;5298;371;122;6;0;76;0;5;20;74;50;6;11;7;5;18;11;0;22;1
77;77;k00200002369;1886;f;4592;328;104;12;0;64;1;12;26;48;18;6;14;8;4;5;10;2;30;10
78;78;k00200000595;1900;m;3879;303;117;8;1;46;1;8;45;33;30;8;17;8;3;10;7;1;7;7
79;79;k00100000082;1890;f;7850;480;143;11;0;82;0;13;24;73;54;48;23;16;10;18;11;10;34;10
80;80;k00100000096;1802;f;4596;509;125;16;1;101;2;28;6;67;58;59;37;14;9;24;15;5;7;9
81;81;k00200000032;1871;m;8423;775;278;25;6;157;3;9;33;104;77;26;27;41;25;17;16;3;6;6
82;82;k00200003249;1910;f;6756;513;199;15;1;74;3;19;47;50;61;6;25;9;8;18;11;5;27;7
83;83;k00200000026;1802;m;3230;267;88;2;0;26;0;9;13;38;26;18;32;6;10;6;6;5;16;5
84;84;k00100000243;1856;m;9519;1172;406;31;2;288;2;18;65;115;99;27;78;35;21;50;24;5;9;19
85;85;k00200003261;1919;f;6549;398;132;10;0;58;3;12;31;47;51;8;16;20;1;13;34;3;24;2
86;86;k00200003275;1906;f;5939;503;181;7;1;54;4;6;51;56;63;15;26;25;6;17;16;1;44;3
87;87;k00100000257;1896;m;19873;1857;701;38;3;347;8;60;91;328;164;8;44;60;44;11;109;52;62;78
88;88;k00200001304;1909;m;10076;1064;308;25;2;208;1;28;41;80;96;15;59;95;41;8;53;15;52;41
89;89;k00200002180;1888;m;9022;500;246;14;0;68;1;20;39;58;54;9;17;21;19;13;21;9;16;11
90;90;k00200002802;1898;f;12451;1113;344;30;0;185;6;32;64;120;149;62;61;49;20;44;32;5;36;16
91;91;k00100000280;1885;f;4435;410;169;6;0;66;0;7;10;45;42;34;38;16;10;7;6;5;12;12
92;92;k00100000294;1787;f;14737;1228;394;17;3;295;1;41;7;155;206;74;59;34;33;40;36;11;33;14
93;93;k00200000967;1812;m;8139;705;209;26;3;139;4;28;39;100;68;32;32;37;14;32;14;11;12;14
94;94;k00200002816;1915;m;10183;1064;319;25;1;175;0;13;142;135;94;53;74;44;13;38;37;2;33;16
95;95;k00200000146;1909;f;7988;510;287;15;7;18;4;6;34;95;52;5;10;13;10;3;34;1;12;3
96;96;k00200002751;1900;m;5901;366;170;8;1;13;1;10;26;52;33;10;24;17;16;10;13;1;21;13
97;97;k00200003329;1912;f;8354;678;256;19;0;159;9;23;39;95;54;15;21;21;19;13;18;6;9;9
98;98;k00100000337;1859;m;10350;916;367;21;0;215;3;21;31;92;94;15;53;34;36;25;24;4;22;17
99;99;k00200001502;1879;m;20491;1410;407;29;2;219;8;79;92;155;112;20;68;53;73;66;83;46;72;102
100;100;k00100000323;1891;m;6156;481;164;17;5;122;0;21;41;83;40;11;9;19;7;5;29;1;5;19
101;101;k00200001516;1913;m;10625;693;215;29;5;159;5;13;32;125;47;12;26;39;6;18;71;2;12;1
102;102;k00100000445;1845;m;33347;2115;634;66;8;411;20;72;40;401;155;107;112;87;121;88;66;32;86;79
103;103;k00200002779;1919;m;2456;156;47;2;0;21;0;4;1;28;20;11;15;10;9;4;2;1;3;4
104;104;k00200000191;1852;f;5487;362;111;5;0;59;4;14;16;62;42;11;15;21;5;8;19;1;29;8
105;105;k00100000109;1885;m;3837;322;128;13;0;72;1;6;10;35;42;5;2;17;9;7;9;0;2;2
106;106;k00200000344;1876;m;9940;579;202;20;2;103;8;6;42;77;31;35;12;30;17;19;15;3;17;12
107;107;k00200002547;1912;f;6401;562;220;15;1;95;0;6;42;72;67;14;12;16;14;17;31;1;14;21
108;108;k00200002209;1908;m;10340;1011;282;29;3;215;3;19;30;122;131;51;54;53;17;27;47;14;20;16
109;109;k00100000135;1864;m;32451;2691;1121;34;3;456;6;66;83;363;267;35;183;94;102;69;54;58;102;46
110;110;k00200001066;1907;m;6266;810;350;10;0;118;0;6;19;80;107;13;72;6;20;30;17;2;51;17
111;111;k00100000121;1810;f;9029;718;210;14;0;128;2;14;28;99;89;25;51;39;39;20;6;3;35;24
112;112;k00200001099;1884;m;9709;635;168;23;1;127;9;54;14;62;56;1;33;24;44;13;17;39;66;2
113;113;k00200000393;1903;m;3653;218;52;17;1;33;1;2;4;22;14;12;24;2;5;7;8;2;25;1
114;114;k00200001933;1892;m;14620;1472;574;41;3;223;2;21;36;148;202;97;74;65;19;39;32;12;43;22
