filename;Titel;Autor_normalisiert;Jahr;Geschlecht
k00200000336;Attila;Dahn, Felix;1882;m
k00200000337;Die Bataver;Dahn, Felix;1890;m
k00200000338;Bissula;Dahn, Felix;1876;m
k00200000339;Vom Chiemgau;Dahn, Felix;1876;m
k00200000340;Chlodovech;Dahn, Felix;1895;m
k00200000341;Ebroin;Dahn, Felix;1876;m
k00200000342;Felicitas;Dahn, Felix;1890;m
k00200000343;Fredigundis;Dahn, Felix;1890;m
k00200000344;Gelimer;Dahn, Felix;1876;m
k00200000348;Die schlimmen Nonnen von Poitiers;Dahn, Felix;1876;m
k00200000352;Sind Götter?;Dahn, Felix;1874;m
k00200000354;Felix Dahn;Dahn, Felix;1834;m
k00200000355;Der Vater und die Söhne;Dahn, Felix;1876;m
k00200000373;Geschichten aus den vier Winden;Dauthendey, Max;1915;m
k00200000375;Der Geist meines Vaters;Dauthendey, Max;1912;m
k00200000376;Josa Gerth;Dauthendey, Max;1893;m
k00200000379;Raubmenschen;Dauthendey, Max;1911;m
k00200000388;Der Übergang;David, Jakob Julius;1902;m
k00200000389;Brausejahre;Decken, A. v. d.;1885;m
k00200000393;Zwei Menschen;Dehmel, Richard;1903;m
k00200000417;Die Amazone;Dingelstedt, Franz;1869;m
k00200000418;Die neuen Argonauten;Dingelstedt, Franz;1839;m
k00200000427;Die erschreckliche Flut von 1634 und der Untergang von Alt-Nordstrand;Dose, Johannes;1896;m
k00200000429;Der Muttersohn – Band I;Dose, Johannes;1904;m
k00200000430;Der Muttersohn – Band II;Dose, Johannes;1904;m
k00200000471;Marquise von Pompadour;Duncker, Dora;1912;f
k00200000477;Eine ägyptische Königstochter Bd. I;Ebers, Georg;1864;m
k00200000478;Per aspera;Ebers, Georg;1892;m
k00200000479;Ein Wort;Ebers, Georg;1883;m
k00200000480;Die Frau Bürgemeisterin;Ebers, Georg;1880;m
k00200000481;Die Gred;Ebers, Georg;1889;m
k00200000482;Homo sum;Ebers, Georg;1878;m
k00200000483;Der Kaiser;Ebers, Georg;1881;m
k00200000484;Die Geschichte meines Lebens;Ebers, Georg;1893;m
k00200000485;Die Nilbraut;Ebers, Georg;1887;m
k00200000486;Im Schmiedefeuer;Ebers, Georg;1894;m
k00200000487;Die Schwestern;Ebers, Georg;1880;m
k00200000488;Die Schwestern;Ebers, Georg;1880;m
k00200000489;Serapis;Ebers, Georg;1885;m
k00200000490;Uarda;Ebers, Georg;1877;m
k00200000491;Die arme Kleine;Ebner-Eschenbach, Marie von;1903;f
k00200000506;Nero;Eckstein, Ernst;1889;m
k00200000510;Der kleine Johannes;Eeden, Frederik van;1860;m
k00200000519;Streifzüge durch Celebes;Emmerich, Ferdinand;1920;m
k00200000527;Hann Klüth;Engel, Georg;1905;m
k00200000528;Die Last;Engel, Georg;1898;m
k00200000529;Claus Störtebecker;Engel, Georg;1920;m
k00200000532;Lieber Fritz;"Erckmann, Emile; Chatrian, Alessandre";1882;f
k00200000533;Geschichte eines Anno 1813 Konskribierten;"Erckmann; Chatrian";1789;m
k00200000538;Satiren, Fabeln, Epigramme, Aphorismen;Ernst, Otto;1904;m
k00200000542;Asmus Sempers Jugendland;Ernst, Otto;1905;m
k00200000543;Semper der Jüngling;Ernst, Otto;1908;m
k00200000544;Semper der Mann;Ernst, Otto;1916;m
k00200000552;Saat auf Hoffnung;Ernst, Paul;1916;m
k00200000556;Freiheit die ich meine;Ertl, Emil;1909;m
k00200000557;Die Leute vom Blauen Guguckshaus;Ertl, Emil;1906;m
k00200000559;Auf der Wegwacht;Ertl, Emil;1911;m
k00200000563;Die Erlkönigin;Eschstruth, Nataly von;1899;f
k00200000564;Frühlingsstürme;Eschstruth, Nataly von;1899;f
k00200000565;Gänseliesel;Eschstruth, Nataly von;1886;f
k00200000566;Jung gefreit - 1;Eschstruth, Nataly von;1897;f
k00200000567;Jung gefreit - 2;Eschstruth, Nataly von;1897;f
k00200000568;Hofluft;Eschstruth, Nataly von;1889;f
k00200000569;Hofluft;Eschstruth, Nataly von;1889;f
k00200000570;Die Bären von Hohen-Esp;Eschstruth, Nataly von;1899;f
k00200000571;Der Stern des Glücks;Eschstruth, Nataly von;1896;f
k00200000572;Der verlorene Sohn;Eschstruth, Nataly von;1913;f
k00200000577;Der Kampf um die Cheopspyramide;Eyth, Max;1902;m
k00200000586;Hinter Pflug und Schraubstock;Eyth, Max;1899;m
k00200000587;Der Schneider von Ulm;Eyth, Max;1906;m
k00200000595;Aus dem Durchschnitt;Falke, Gustav;1900;m
k00200000598;Der Mann im Nebel;Falke, Gustav;1899;m
k00200000599;Die Kinder aus Ohlsens Gang;Falke, Gustav;1908;m
k00200000624;Jungfer Therese;Federer, Heinrich;1913;m
k00200000628;Maren;Fehrs, Johann Hinrich;1907;m
k00200000643;Selim und Zoraïde;Fischer, Caroline Auguste;1802;f
k00200000655;Wolf Eschenlohr;Flex, Walter;1919;m
k00200000669;Die wunderbaren Begebenheiten des Grafen Alethes von Lindenstein;Fouqué, Friedrich Baron de la Motte;1817;m
k00200000670;Alwin;Fouqué, Friedrich Baron de la Motte;1808;m
k00200000673;Der Zauberring;Fouqué, Friedrich Baron de la Motte;1813;m
k00200000693;Das Kind der Sühne;Franzos, Karl Emil;1920;m
k00200000695;Der Stumme mit dem bösen Blick;Franzos, Karl Emil;1873;m
k00200000696;Judith Trachtenberg;Franzos, Karl Emil;1891;m
k00200000703;Ingo und Ingraban;Freytag, Gustav;1872;m
k00200000704;Marcus König;Freytag, Gustav;1876;m
k00200000715;Meister Robinson;"Fürst, Artur; Moszkowski, Alexander";1918;m
k00200000721;Der Dorfapostel;Ganghofer, Ludwig;1900;m
k00200000723;Edelweißkönig;Ganghofer, Ludwig;1886;m
k00200000725;Fliegender Sommer;Ganghofer, Ludwig;1892;m
k00200000728;Das Gotteslehen;Ganghofer, Ludwig;1899;m
k00200000730;Der hohe Schein;Ganghofer, Ludwig;1904;m
k00200000731;Der Jäger von Fall;Ganghofer, Ludwig;1883;m
k00200000733;Der laufende Berg;Ganghofer, Ludwig;1897;m
k00200000735;Ludwig Ganghofer;Ganghofer, Ludwig;1881;m
k00200000736;Die Martinsklause;Ganghofer, Ludwig;1894;m
k00200000741;Das Schweigen im Walde;Ganghofer, Ludwig;1899;m
k00200000742;Die Trutze von Trutzberg;Ganghofer, Ludwig;1915;m
k00200000743;Waldrausch;Ganghofer, Ludwig;1908;m
k00200000747;Venetianische Novellen;Gaudy, Franz Freiherr von;1838;m
k00200000760;Aus den Memoiren einer Berliner Range;Georgy, Ernst;1899;m
k00200000765;Unter dem Äquator;Gerstäcker, Friedrich;1861;m
k00200000766;Señor Aguila;Gerstäcker, Friedrich;1865;m
k00200000769;Nach Amerika! Erster Band;Gerstäcker, Friedrich;1889;m
k00200000770;Nach Amerika! Zweiter Band;Gerstäcker, Friedrich;1889;m
k00200000771;Die Blauen und Gelben;Gerstäcker, Friedrich;1870;m
k00200000773;General Franco;Gerstäcker, Friedrich;1865;m
k00200000775;Germelshausen;Gerstäcker, Friedrich;1860;m
k00200000776;Gold;Gerstäcker, Friedrich;1858;m
k00200000778;Im Busch;Gerstäcker, Friedrich;1864;m
k00200000781;Der Kunstreiter;Gerstäcker, Friedrich;1861;m
k00200000786;Unter den Pehuenchen;Gerstäcker, Friedrich;1867;m
k00200000789;Sträflinge;Gerstäcker, Friedrich;1850;m
k00200000793;Tahiti;Gerstäcker, Friedrich;1854;m
k00200000799;Jürnjakob Swehn der Amerikafahrer;Gillhoff, Johannes;1917;m
k00200000829;Lemkes sel. Wwe.;Graeser, Erdmann;1907;m
k00200000862;Meister Jakob und seine Kinder;Guttenbrunn;1918;m
k00200000865;Hohenschwangau;Gutzkow, Karl;1867;m
k00200000877;Die Heilige und ihr Narr;Günther, Agnes;1913;f
k00200000878;Die Heilige und ihr Narr;Günther, Agnes;1913;f
k00200000881;Der Augenblick des Glücks – Aus den Memoiren eines fürstlichen Hofes;Hackländer, Friedrich Wilhelm;1857;m
k00200000882;Der letzte Bombardier;Hackländer, Friedrich Wilhelm;1870;m
k00200000885;Das Geheimniß der Stadt;Hackländer, Friedrich Wilhelm;1868;m
k00200000886;Handel und Wandel;Hackländer, Friedrich Wilhelm;1850;m
k00200000889;Namenlose Geschichten - Erster Band;Hackländer, Friedrich Wilhelm;1851;m
k00200000890;Namenlose Geschichten - Zweiter Band;Hackländer, Friedrich Wilhelm;1851;m
k00200000893;Eugen Stillfried - Erster Band;Hackländer, Friedrich Wilhelm;1852;m
k00200000900;Peregrin;Hahn-Hahn, Ida von;1864;f
k00200000907;Aspasia;Hamerling, Robert;1876;m
k00200000920;Schlumski;Harder, Agnes;1916;f
k00200000922;Das Haus der Titanen;Hart, Hans;1913;m
k00200000930;Der Krieg um den Wald / 1;Hartmann, Moritz;1850;m
k00200000937;Der Mann im Mond;Hauff, Wilhelm;1826;m
k00200000949;Elfriede;Hausrath, Adolf;1886;m
k00200000950;Jetta;Hausrath, Adolf;1884;m
k00200000951;Im Reiche der Homunkuliden;Hawel, Rudolf;1910;m
k00200000952;Dr. Thorns Lebensabend;Hawel, Rudolf;1916;m
k00200000959;Felix Notvest;Heer, Jakob Christoph;1901;m
k00200000960;Der lange Balthasar;Heer, Jakob Christoph;1915;m
k00200000961;Der König der Bernina;Heer, Jakob Christoph;1900;m
k00200000963;An heiligen Wassern;Heer, Jakob Christoph;1898;m
k00200000964;Laubgewind;Heer, Jakob Christoph;1908;m
k00200000967;Die Molkenkur;Hegner, Ulrich;1812;m
k00200000968;Apotheker Heinrich;Heiberg, Hermann;1885;m
k00200000969;Grevinde;Heiberg, Hermann;1898;m
k00200000970;Todsünden;Heiberg, Hermann;1891;m
k00200000971;Menschen untereinander;Heiberg, Hermann;1880;m
k00200000972;Eine vornehme Frau;Heiberg, Hermann;1895;m
k00200000974;Karl der Zwölfte und seine Krieger;Heidenstam, Verner von;1898;m
k00200000982;Aus dem Leben meiner alten Freundin;Heimburg, Wilhelmine;1879;f
k00200000983;Trudchens Heirat;Heimburg, Wilhelmine;1894;f
k00200000985;Die verborgene Schrift;Heine, Anselma;1918;f
k00200000991;Die Versuchung;Heun, Karl Gottlieb Samuel;1920;m
k00200000994;Ille mihi – Erster Band;Heyking, Elisabeth von;1912;f
k00200000995;Ille mihi – Zweiter Band;Heyking, Elisabeth von;1912;f
k00200000996;Liebe, Diplomatie und Holzhäuser;Heyking, Elisabeth von;1919;f
k00200001009;Gegen den Strom;Heyse, Paul;1907;m
k00200001017;Marienkind;Heyse, Paul;1892;m
k00200001022;Crone Stäudlin;Heyse, Paul;1904;m
k00200001029;Die Hassenburg;Hille, Peter;1905;m
k00200001032;Die Geier-Wally;Hillern, Wilhemine von;1880;m
k00200001047;Schwarzwaldau;Holtei, Karl von;1856;m
k00200001051;Vor Jahr und Tag;Holzamer, Wilhelm;1908;m
k00200001053;Ein Kind unserer Zeit;Horváth, Edmund Josef von;1830;m
k00200001065;Enzio::Enzio;Huch, Friedrich;1911;m
k00200001066;Mao;Huch, Friedrich;1907;m
k00200001067;Pitt und Fox::Pitt und Fox;Huch, Friedrich;1909;m
k00200001080;Der Oberhof;Immermann, Karl;1839;m
k00200001095;Frau Marie Grubbe;Jacobsen, Jens Peter;1880;m
k00200001096;Sechs Novellen;Jacobsen, Jens Peter;1880;m
k00200001099;Die Pfeifer vom Dusenbach;Jensen, Wilhelm;1884;m
k00200001100;Vor der Elbmündung;Jensen, Wilhelm;1905;m
