0textId year verbs innerVerbs afla alege asculta auzi crede cunoaște ferici gândi hotărî iubi mulțumi plânge plăcea privi putea părea simți suferi trebui uita vedea voi vrea înțelege ști 
ROM049 1882 1648 223 0 3 9 17 5 5 0 7 0 0 1 8 4 2 6 6 6 0 11 25 62 0 16 2 28 
ROM050 1885 4570 471 4 9 43 18 19 10 3 10 6 12 13 8 4 6 29 14 18 6 25 46 64 8 48 18 30 
ROM051 1883 6056 798 7 6 22 37 20 16 10 19 0 78 10 28 7 22 99 44 23 6 36 39 141 8 63 30 27 
ROM052 1907 5246 837 9 14 26 36 16 12 12 54 4 2 11 16 6 20 60 75 32 7 20 106 113 7 69 39 71 
ROM053 1902 7208 1278 14 2 22 51 46 23 10 52 16 54 16 16 18 41 91 111 74 7 82 139 126 14 105 43 105 
ROM054 1904 11702 949 18 10 32 103 15 12 19 11 20 7 21 32 2 69 51 107 21 1 32 52 207 19 19 8 61 
ROM055 1906 8069 951 26 4 31 90 21 23 15 22 19 20 13 49 1 51 51 107 44 1 41 49 160 14 33 15 51 
ROM056 1904 34177 4831 339 124 92 275 193 192 43 88 170 121 83 20 37 112 413 158 132 41 350 168 921 71 156 92 440 
ROM057 1912 10947 1291 78 31 23 94 45 45 6 11 47 28 23 5 21 25 108 41 24 14 47 73 288 19 30 26 139 
ROM058 1889 5759 962 36 6 24 38 66 41 11 13 3 70 25 19 10 17 68 44 36 17 42 35 98 88 10 31 114 
ROM059 1907 18642 3071 32 60 66 118 172 72 61 102 17 84 37 37 56 43 201 142 95 55 213 165 548 44 232 33 386 
ROM060 1903 23190 3806 44 41 74 103 270 41 66 113 30 127 40 74 84 75 319 245 177 68 291 183 595 62 322 91 271 
ROM061 1906 19231 3229 76 48 65 108 152 76 24 137 29 89 31 37 39 98 171 210 181 41 226 184 538 54 230 48 337 
ROM062 1887 8705 898 13 22 26 84 46 14 5 2 1 26 3 2 4 33 87 75 21 23 154 88 62 50 41 1 15 
ROM063 1898 10926 1204 41 27 44 115 55 29 5 8 5 33 5 3 7 28 170 29 20 2 168 70 163 25 123 4 25 
ROM064 1909 1876 259 29 15 0 4 7 15 1 11 8 12 0 9 0 5 21 5 11 6 19 2 37 3 11 3 25 
ROM065 1920 4456 704 8 6 18 13 42 49 11 17 7 52 9 12 18 43 33 58 45 4 28 28 57 26 26 35 59 
ROM066 1913 3747 516 26 4 7 33 23 15 11 20 12 30 11 7 5 45 20 24 47 8 11 15 76 5 15 8 38 
ROM067 1864 3597 460 23 9 14 20 26 16 0 11 2 16 9 6 16 5 18 29 7 2 17 22 81 6 24 18 63 
ROM068 1913 17679 2754 103 58 48 73 128 143 26 85 43 75 70 24 56 91 197 146 145 44 155 102 362 61 100 127 292 
ROM069 1908 16032 3781 46 41 60 139 113 57 30 178 53 147 62 106 122 74 279 222 97 35 225 228 565 48 320 77 457 
ROM070 1920 9658 1573 37 35 51 69 52 63 20 44 20 54 18 65 25 12 109 54 35 29 68 58 222 21 137 59 216 
ROM071 1906 18153 3745 95 44 13 34 78 58 31 83 60 52 28 94 38 12 694 90 135 37 234 295 588 131 139 108 574 
ROM072 1902 13444 1926 82 65 39 33 28 22 13 45 23 19 24 27 30 14 364 23 67 32 114 110 313 87 92 56 204 
ROM073 1920 12471 2258 78 43 23 28 66 35 10 51 22 16 12 43 22 17 410 66 42 21 124 195 273 65 159 58 379 
ROM074 1910 16831 2138 65 57 22 89 94 75 27 60 41 75 29 18 57 45 196 72 54 20 164 70 360 20 92 62 274 
ROM075 1914 11547 1456 59 20 19 60 94 54 12 37 27 54 23 10 28 19 141 51 22 12 113 53 226 27 70 46 179 
ROM076 1920 28129 4035 66 72 93 215 126 76 35 187 55 78 90 78 71 93 255 213 248 38 301 286 532 24 330 109 364 
ROM077 1914 29917 4989 134 94 81 248 276 117 75 241 65 50 65 45 107 183 411 581 326 47 281 128 635 46 155 137 461 
ROM078 1912 18240 2191 91 58 18 53 92 96 16 36 44 106 40 21 33 40 223 79 65 40 153 74 322 24 153 63 251 
ROM079 1904 9407 1506 42 12 39 69 56 41 12 71 21 23 24 19 7 39 83 67 98 21 125 47 229 23 109 52 177 
ROM080 1883 13525 1885 86 21 33 80 133 28 18 41 14 35 18 18 23 27 136 135 58 36 178 81 265 121 69 79 152 
ROM081 1916 3136 406 8 2 10 15 16 22 3 6 12 0 1 3 3 7 41 26 21 2 34 18 69 8 36 4 39 
ROM082 1906 11161 2011 8 26 26 31 69 77 65 69 17 108 23 33 31 41 142 114 153 38 134 90 258 40 152 68 198 
ROM083 1918 6452 983 37 7 19 36 28 43 20 32 11 22 23 19 11 59 72 53 66 22 92 26 119 8 74 20 64 
ROM084 1899 3191 361 47 8 5 8 18 19 0 1 2 9 0 1 1 21 38 21 6 4 39 16 41 19 6 8 23 
ROM085 1911 18207 2492 128 29 52 91 140 165 43 71 22 100 75 92 36 146 102 124 118 78 1 75 344 75 105 58 222 
