0textId year verbs innerVerbs bemerken blicken brauchen denken erkennen fühlen hören lieben meinen mögen müssen sehen sollen vergessen vermögen verstehen wissen wollen 
DEU058.xml 1881 5048 660 5 21 25 34 10 11 25 23 41 23 96 91 49 14 16 9 61 106 
DEU059.xml 1888 6733 1171 2 4 19 85 9 22 61 53 27 48 143 233 100 14 0 19 108 224 
DEU060.xml 1897 2611 385 2 8 6 32 5 11 15 9 31 32 47 46 32 4 7 8 26 64 
DEU061.xml 1888 30537 3701 50 44 53 190 88 174 138 133 151 253 486 481 383 56 44 140 302 535 
DEU062.xml 1895 33250 4806 26 134 92 154 72 82 158 74 322 286 568 680 506 30 38 186 426 972 
DEU063.xml 1894 4315 684 14 14 23 35 9 29 15 66 31 16 68 69 57 12 2 13 76 135 
DEU064.xml 1892 11946 1460 2 34 30 96 6 22 102 10 78 48 216 232 136 38 0 16 166 228 
DEU065.xml 1897 7667 1212 17 28 29 54 8 31 34 43 44 67 232 139 120 17 0 32 124 193 
DEU066.xml 1898 42530 6854 53 15 80 400 31 86 318 233 254 282 985 1169 749 63 0 152 822 1162 
DEU067.xml 1895 48296 6320 32 150 156 204 80 124 466 114 256 236 1154 1038 574 96 76 138 508 918 
DEU068.xml 1898 6178 663 19 11 18 20 9 4 15 7 59 52 85 84 55 7 11 29 79 99 
DEU069.xml 1888 11196 1279 13 60 9 63 19 29 32 26 44 28 227 167 141 28 32 34 102 225 
DEU070.xml 1882 5357 746 6 3 3 18 12 22 53 53 17 32 78 127 66 14 2 16 92 132 
DEU071.xml 1886 6822 944 5 1 13 20 6 20 47 26 22 64 135 203 81 12 0 20 102 167 
DEU072.xml 1887 5637 810 5 4 19 26 2 13 30 37 58 34 89 91 102 7 1 20 140 132 
DEU073.xml 1899 10976 1724 31 30 36 87 12 53 71 116 121 60 158 241 143 28 1 49 234 253 
DEU074.xml 1889 9978 1534 36 5 15 126 19 87 54 102 55 63 176 298 138 20 6 33 115 186 
DEU075.xml 1896 7063 1088 17 29 28 42 9 41 43 39 74 48 100 222 98 8 2 22 96 170 
DEU076.xml 1908 39624 5034 94 130 84 294 54 92 162 86 144 278 736 818 464 82 56 138 508 814 
DEU077.xml 1903 9213 1639 1 2 27 127 8 98 46 51 34 76 191 258 182 28 3 21 188 298 
DEU078.xml 1919 28718 3898 26 32 60 192 72 116 132 54 96 92 642 690 466 50 16 128 396 638 
DEU079.xml 1910 8427 1242 14 6 7 68 28 55 49 33 70 33 168 283 63 34 5 27 178 121 
DEU080.xml 1907 9280 1434 28 2 16 108 4 48 78 26 88 26 210 318 92 14 4 24 146 202 
DEU081.xml 1901 49226 6900 142 14 184 376 74 148 452 198 310 276 734 1298 626 84 36 202 742 1004 
