0textId year verbs innerVerbs ver:perception querer:volition saber:cognition parecer:perception creer:cognition mirar:perception pensar:cognition sentir:physiology morir:physiology amar:affect necesitar:volition poder:volition llorar:affect desear:affect sufrir:physiology cumplir:moral deber:moral jurar:moral 
SPA3015 1885 4284 663 82 97 98 99 40 50 54 29 29 24 13 11 12 4 8 2 4 7 
SPA3016 1896 9082 1267 199 243 170 119 74 89 51 89 56 12 27 24 33 26 33 7 6 9 
SPA3017 1881 4251 616 111 69 83 58 32 37 21 69 33 37 8 12 7 16 16 6 0 1 
SPA3018 1897 9126 691 160 54 73 96 73 11 33 28 32 18 14 3 3 36 28 20 8 1 
SPA3019 1885 4176 505 107 53 73 51 36 42 52 23 8 13 7 4 8 9 13 2 3 1 
SPA3020 1887 15096 1591 340 291 272 85 72 124 86 90 47 17 35 14 48 22 14 19 2 13 
SPA3021 1891 4523 461 87 52 75 54 49 18 22 9 28 3 7 3 15 6 11 12 5 5 
SPA3022 1890 17170 1699 369 234 262 141 114 162 106 108 36 10 41 13 19 27 19 21 9 8 
SPA3023 1889 5152 640 168 89 76 49 31 43 36 27 38 18 15 11 17 3 10 5 3 1 
SPA3024 1892 5169 547 165 94 64 28 48 28 25 34 1 6 10 3 17 16 2 1 2 3 
SPA3025 1885 6049 955 147 196 147 50 30 83 58 63 20 29 24 12 47 10 27 4 1 7 
SPA3026 1886 1574 220 55 29 22 19 19 13 18 22 6 0 2 2 5 1 4 1 1 1 
SPA3027 1883 8595 962 298 159 124 87 32 96 42 14 28 2 12 8 27 4 1 9 12 7 
SPA3028 1881 13085 1259 256 183 196 70 93 66 40 47 77 19 21 15 71 31 41 20 9 4 
SPA3029 1882 8636 938 142 116 104 83 59 61 43 42 20 16 24 142 6 17 5 9 36 13 
SPA4001 1910 1961 254 52 26 46 17 16 22 14 15 9 2 2 0 14 2 9 4 4 0 
SPA4002 1910 6769 938 184 126 111 122 53 144 33 53 23 17 8 6 25 12 5 6 2 8 
SPA4003 1914 7865 1391 208 230 220 108 152 90 110 74 93 9 11 11 35 14 10 2 6 8 
SPA4004 1914 12135 1210 283 199 185 53 94 120 81 45 27 3 17 11 37 8 19 10 7 11 
SPA4005 1903 3034 288 50 36 35 45 14 32 3 36 7 5 3 2 7 4 1 4 0 4 
SPA4006 1915 1345 86 17 18 8 4 6 5 6 4 0 1 6 3 0 0 2 4 0 2 
SPA4007 1909 5249 471 88 69 34 57 28 25 28 44 25 9 10 4 18 11 10 6 3 2 
SPA4008 1905 5326 550 92 61 50 33 36 46 47 52 35 12 17 4 13 14 26 4 4 4 
SPA4009 1902 3044 382 62 54 47 49 24 36 12 30 22 7 1 6 17 4 7 0 1 3 
SPA4010 1909 3608 340 84 29 48 33 15 71 9 20 9 5 0 4 7 2 0 1 1 2 
SPA4011 1900 5226 631 110 100 89 51 43 48 35 40 9 11 20 8 22 13 16 5 1 10 
SPA4012 1915 4192 578 86 57 70 84 29 93 23 30 30 7 14 4 25 1 7 5 5 8 
SPA4013 1919 4030 526 97 62 64 43 22 73 30 48 48 5 6 4 9 7 3 4 1 0 
SPA4014 1918 7131 842 150 128 125 105 49 47 44 81 21 6 16 13 13 8 7 13 2 14 
SPA4015 1917 4338 792 85 195 121 45 78 52 50 42 33 7 15 13 13 6 20 2 6 9 
SPA4016 1902 4789 727 114 139 96 48 55 80 58 28 37 6 11 12 24 2 6 4 7 0 
SPA4017 1900 23105 2730 482 365 442 213 225 166 234 148 79 9 118 24 38 18 20 27 53 69 
SPA4018 1902 14925 1456 285 163 200 121 150 73 108 93 48 12 38 21 23 25 36 33 8 19 
SPA4019 1903 8355 854 185 106 147 76 62 55 35 47 29 17 17 18 33 5 11 2 4 5 
SPA4020 1917 8394 1140 233 116 101 150 65 76 46 134 55 22 24 16 25 25 34 12 4 2 
SPA4021 1917 12615 956 220 170 108 77 43 63 76 43 28 2 27 12 16 6 16 28 12 9 
SPA4022 1907 4801 579 90 83 89 41 64 15 13 28 55 16 29 4 9 18 8 8 2 7 
SPA4023 1914 10963 1198 235 188 226 94 76 45 105 55 24 1 20 19 7 21 35 24 22 1 
SPA4024 1908 13731 1580 452 199 166 173 119 82 77 101 41 8 36 4 21 50 28 11 4 8 
SPA4025 1905 15252 1129 256 181 137 94 75 46 55 37 55 21 11 22 17 42 11 31 14 24 
SPA4026 1909 3597 393 70 76 54 25 41 31 17 26 3 7 7 5 14 12 2 0 2 1 
