0textId year verbs innerVerbs bati gledati hoteti ljubiti misliti morati moči pogledati pričakovati skleniti skrbeti skrbeti slišati smeti trpeti upati vedeti videti zdeti želeti 
SLV00476 1917 4930 568 8 61 36 24 28 64 61 49 8 3 4 4 29 7 2 8 51 70 41 10 
SLV00478 1918 6619 903 22 86 128 19 60 48 73 38 2 6 8 8 63 27 9 17 146 109 27 7 
SLV00483 1913 18421 2347 48 95 301 30 156 249 283 95 13 31 11 11 106 53 8 46 389 317 75 30 
SLV00496 1904 9750 1103 37 95 97 33 63 105 89 96 3 17 11 11 51 43 18 16 143 96 53 26 
SLV00497 1903 4787 566 24 75 33 17 31 47 47 55 0 9 6 6 14 21 11 10 57 59 34 10 
SLV00498 1912 8440 775 17 70 52 11 34 55 60 105 3 13 16 16 33 15 7 20 117 86 34 11 
SLV00502 1905 5504 573 5 76 53 32 36 62 39 27 3 1 6 6 30 10 4 10 70 67 20 16 
SLV00506 1909 16207 1769 63 202 295 56 63 124 118 85 17 17 20 20 72 97 39 30 176 206 31 38 
SLV00526 1911 15919 1804 64 219 108 92 82 210 197 111 20 16 9 9 95 59 12 39 111 234 91 26 
SLV10001 1904 4319 486 12 135 33 4 40 4 39 23 2 2 4 4 33 4 3 13 46 65 15 5 
SLV10002 1876 5700 633 22 117 47 22 23 81 51 18 5 11 11 11 28 18 5 7 55 79 12 10 
SLV10003 1836 5992 872 8 52 103 26 55 89 105 14 1 7 24 24 42 21 22 12 128 109 14 16 
SLV10004 1905 5468 723 15 58 150 11 34 86 61 34 7 5 5 5 8 16 4 2 96 72 35 19 
SLV10005 1907 23124 1585 55 117 115 104 74 172 137 102 5 36 19 19 48 65 18 62 210 140 51 36 
SLV10006 1910 5992 1133 28 62 215 35 55 95 158 60 38 24 5 5 39 7 7 13 87 122 55 23 
SLV10007 1866 10854 1902 42 69 196 34 173 161 202 50 7 8 20 20 68 63 5 28 403 256 65 32 
SLV10008 1876 3424 594 8 34 59 25 50 62 66 31 4 4 4 4 17 26 1 13 89 64 25 8 
SLV10009 1876 5235 865 23 39 117 15 70 111 112 21 7 6 2 2 25 32 7 18 113 104 29 12 
SLV10010 1873 3162 481 19 17 72 10 32 53 72 16 5 5 6 6 4 13 2 11 57 56 16 9 
SLV10011 1877 3614 593 11 44 79 20 42 52 65 20 1 1 6 6 17 23 7 11 85 80 17 6 
SLV10012 1884 5532 546 19 11 125 15 26 58 66 6 19 16 4 4 3 11 4 33 58 60 0 8 
SLV10013 1904 3966 518 8 34 57 25 49 36 43 15 4 4 9 9 16 17 7 7 87 69 17 5 
SLV10014 1907 6049 1014 21 62 70 95 124 69 69 48 2 2 5 5 40 10 8 12 142 122 81 27 
SLV10015 1914 9003 1251 68 75 79 36 123 120 137 29 12 6 16 16 33 29 17 32 210 137 55 21 
SLV10016 1886 10952 1480 21 99 140 46 117 163 122 21 11 18 17 17 71 45 10 43 222 183 86 28 
SLV10017 1903 44507 6358 181 326 1044 142 470 1006 772 249 94 42 52 52 282 213 66 108 560 561 81 57 
SLV10018 1913 26876 3037 96 251 371 30 147 337 318 136 27 27 30 30 151 133 15 19 369 307 192 51 
SLV10019 1917 12615 1310 40 128 107 16 92 152 75 84 14 24 29 29 42 32 12 24 181 151 55 23 
SLV10020 1898 6316 977 21 59 128 41 93 103 107 42 8 9 8 8 35 27 6 21 117 99 30 15 
SLV10021 1896 3491 516 19 27 43 22 37 36 59 23 2 6 3 3 5 14 11 15 85 56 28 22 
SLV10022 1910 5123 554 10 65 61 34 43 44 74 26 6 9 4 4 15 9 2 3 57 62 22 4 
SLV10023 1870 4369 872 8 76 74 23 52 66 149 21 4 2 11 11 22 26 21 18 98 138 35 17 
SLV10024 1875 8136 1529 43 66 155 25 85 138 178 36 2 5 33 33 55 72 22 35 275 182 69 20 
SLV10025 1876 8358 1593 54 104 124 81 86 65 207 50 10 8 19 19 25 75 29 48 230 256 68 35 
SLV10026 1919 8941 1061 19 76 180 9 56 145 121 33 17 8 16 16 15 35 11 28 159 100 12 5 
SLV10027 1911 5360 678 11 24 97 4 34 83 67 41 11 11 10 10 27 35 6 14 85 77 29 2 
SLV10028 1889 8374 1002 24 42 104 13 62 118 105 54 16 6 9 9 60 20 17 29 106 128 51 29 
SLV10029 1889 4728 626 11 34 111 31 46 46 78 17 7 8 7 7 3 18 0 3 94 71 26 8 
SLV10030 1921 17360 1811 51 106 184 98 96 226 202 36 27 20 25 25 81 76 17 46 175 230 53 37 
SLV10031 1911 21369 3492 55 180 526 172 322 239 386 57 49 42 20 20 121 34 18 92 331 419 319 90 
SLV10032 1900 13907 2110 42 67 264 57 185 233 308 39 33 10 20 20 44 29 32 34 323 244 96 30 
SLV20001 1859 4418 521 15 39 92 14 34 55 54 23 7 0 6 6 14 12 3 7 53 83 2 2 
SLV20002 1884 4838 655 20 40 101 16 55 61 108 26 13 11 8 8 20 14 4 7 65 55 17 6 
SLV30001 1913 4403 740 14 50 80 41 88 76 62 39 1 1 1 1 30 5 4 4 97 114 29 3 
