0textId year verbs innerVerbs ver:perception saber:cognition poder:ability querer:ability ouvir:perception dever:moral olhar:perception sentir:affect conhecer:cognition esperar:affect pensar:cognition amar:affect julgar:moral desejar:ability dormir:physiology gostar:affect comer:physiology estremecer:physiology 
POR0062 1908 3333 333 62 60 38 40 12 7 14 32 12 7 23 3 2 7 0 8 3 3 
POR0063 1870 12947 1234 210 186 143 171 70 47 56 84 55 37 45 41 10 9 35 6 11 18 
POR0064 1873 8129 806 150 130 143 72 57 49 9 16 86 44 7 4 19 8 4 3 5 0 
POR0065 1914 9377 1002 208 111 117 124 35 45 50 51 33 30 56 29 35 24 9 25 17 3 
POR0066 1916 2420 174 39 31 11 22 10 2 23 4 1 3 11 0 0 1 6 4 4 2 
POR0067 1867 12822 1246 318 173 146 169 53 39 40 42 39 47 47 58 30 17 4 7 4 13 
POR0068 1899 9176 779 109 85 112 90 35 42 28 46 32 30 35 45 28 10 6 26 11 9 
POR0069 1867 4233 503 93 61 63 92 23 26 9 11 23 11 28 36 6 5 3 7 3 3 
POR0070 1857 7026 664 93 52 141 64 32 83 11 14 42 31 27 21 10 28 9 0 2 4 
POR0071 1881 4515 281 69 38 24 12 29 12 7 14 19 12 14 2 9 5 8 0 4 3 
POR0072 1900 12284 933 172 109 145 116 69 59 12 26 50 62 33 12 16 37 4 3 6 2 
POR0073 1867 14607 1421 234 183 235 162 56 103 53 115 59 57 34 19 34 36 6 10 6 19 
POR0074 1900 18450 1496 266 199 169 153 73 49 130 84 12 59 92 36 22 10 51 17 18 56 
POR0075 1906 15523 1784 257 239 400 248 70 80 51 69 55 54 85 30 61 31 14 17 15 8 
POR0076 1894 8458 418 73 46 104 55 13 36 4 5 13 19 5 3 26 7 1 3 3 2 
POR0077 1857 9093 905 129 108 199 70 35 86 13 27 35 27 41 44 26 33 10 8 12 2 
POR0078 1908 12623 742 99 79 120 84 51 56 20 32 53 38 17 12 6 32 19 3 5 16 
POR0079 1879 16139 1099 223 113 136 84 29 35 80 192 24 29 56 14 1 19 6 18 7 33 
POR0080 1903 38021 4210 616 761 380 601 279 223 297 191 113 160 207 89 60 63 64 34 26 46 
POR0081 1878 10898 1022 197 187 159 77 68 94 49 31 35 43 6 30 16 13 4 2 1 10 
POR0082 1858 15767 1648 318 219 192 197 70 67 61 53 113 47 33 106 62 37 12 45 5 11 
POR0083 1908 2470 236 38 34 37 31 10 16 8 12 11 17 8 0 4 3 1 2 4 0 
POR0084 1866 8901 721 103 81 114 86 51 64 27 39 34 26 9 41 5 8 13 4 6 10 
POR0085 1863 12959 1342 234 198 216 166 64 74 56 54 42 44 50 44 48 12 10 7 8 15 
POR0086 1912 5435 642 70 66 75 72 23 27 25 64 13 10 58 56 17 25 13 9 1 18 
POR0087 1908 25837 2238 435 354 305 230 111 90 137 86 99 99 89 36 25 32 33 36 38 3 
POR0088 1864 27767 3110 597 382 532 314 256 130 138 81 186 117 66 99 58 60 24 19 38 13 
POR0089 1868 2406 240 42 53 37 30 6 10 5 15 9 5 3 8 6 2 0 0 3 6 
POR0090 1892 2127 135 32 20 28 7 2 11 2 10 6 0 5 0 5 4 1 0 1 1 
POR0091 1876 16881 1447 220 186 197 205 75 85 93 81 64 30 52 72 13 14 23 7 9 21 
POR0092 1878 10941 1004 192 142 115 148 68 60 34 24 33 58 44 30 19 11 8 3 11 4 
POR0093 1874 10800 1306 275 172 220 116 82 65 33 75 54 33 32 54 45 19 3 14 0 14 
POR0094 1862 7584 691 125 103 79 67 37 36 15 37 31 25 34 31 19 22 15 0 5 10 
POR0095 1905 9723 909 133 175 139 129 41 50 37 22 54 23 27 4 18 14 2 25 10 6 
POR0096 1858 8295 833 107 157 142 77 46 72 16 15 31 56 12 7 24 40 7 15 7 2 
POR0097 1906 26288 2728 506 465 274 487 186 87 159 60 55 60 110 75 10 28 42 65 50 9 
POR0098 1901 8321 869 185 157 67 114 63 43 32 21 55 30 12 20 23 8 15 2 14 8 
POR0099 1903 14964 1629 285 277 194 213 54 56 87 77 79 52 79 44 32 29 13 37 12 9 
POR0100 1889 16279 1423 290 211 308 136 67 66 14 69 67 37 27 17 11 15 51 12 19 6 
