0textId year verbs innerVerbs believe feel hear know like mean see seem think want 
ENG19111 1911 13320 1113 61 69 122 203 33 67 275 69 183 31 
ENG19120 1912 26326 1836 50 172 59 296 50 94 288 273 372 182 
ENG19121 1912 16686 1319 39 219 79 203 53 84 324 109 180 29 
ENG19150 1915 7666 577 24 32 41 85 11 24 185 52 95 28 
ENG19170 1917 7160 514 32 54 58 87 5 29 71 83 70 25 
ENG19180 1918 19075 1106 26 168 48 171 39 79 232 110 168 65 
ENG19181 1918 5570 421 6 33 23 95 10 21 109 42 60 22 
ENG19190 1919 7791 668 35 41 57 149 24 34 112 83 121 12 
ENG19191 1919 10666 544 25 40 47 132 14 30 121 52 69 14 
ENG19192 1919 31145 2606 94 291 109 395 69 133 449 427 509 130 
ENG19200 1920 34759 3136 113 347 116 649 125 107 492 359 429 399 
ENG19201 1919 5681 469 10 28 27 101 22 13 104 62 83 19 
