0textId year verbs innerVerbs accepter aimer apercevoir attendre compter connaître craindre croire devoir engager entendre espérer essayer falloir manquer oser refuser regarder savoir sentir souffrir trouver valoir voir vouloir 
FRA02702 1883 14083 1385 3 64 67 69 9 51 18 64 48 4 57 7 14 73 7 23 22 111 112 120 18 83 14 155 172 
FRA02802 1883 9767 951 3 68 26 40 15 36 9 51 42 1 49 2 5 62 20 18 4 25 144 30 1 42 6 148 104 
FRA02901 1903 9864 1133 3 135 13 29 5 44 7 49 50 0 40 4 19 31 2 8 4 98 99 110 35 59 3 176 110 
FRA03001 1885 21898 2144 11 63 43 74 26 59 44 94 149 29 116 33 30 150 19 41 15 96 194 62 35 159 21 342 239 
FRA03002 1890 10041 952 13 83 19 31 16 31 14 57 46 6 32 10 18 49 8 7 3 63 90 40 22 56 11 124 103 
FRA03003 1894 9476 913 15 20 7 29 21 45 19 46 52 9 31 11 15 75 15 6 10 32 97 23 6 72 15 140 102 
FRA03101 1852 12349 1221 10 133 34 42 8 26 13 92 35 11 54 12 21 47 12 17 15 63 78 51 10 92 5 167 173 
FRA03201 1887 14384 1327 19 26 32 49 29 43 18 55 123 10 83 20 5 76 21 23 22 32 143 31 10 130 29 128 170 
FRA03302 1865 9819 978 11 73 19 26 9 51 9 62 71 6 35 8 9 57 21 13 13 38 78 26 15 66 9 118 135 
FRA03401 1855 7176 657 3 16 25 41 7 20 7 33 44 5 42 7 13 36 13 13 5 51 66 10 6 57 2 87 48 
FRA03601 1913 32131 3774 12 226 99 81 34 294 22 264 242 12 187 29 34 104 31 41 27 98 383 189 47 338 26 630 324 
FRA03701 1872 20879 2882 28 160 21 63 60 110 64 180 170 33 114 32 20 194 31 25 31 82 376 69 50 178 23 393 375 
FRA03702 1867 17901 2560 46 287 24 63 30 68 44 203 166 12 59 13 28 201 27 29 12 57 298 105 50 112 19 274 333 
FRA03704 1840 24589 2893 52 204 22 72 29 87 64 222 148 22 100 35 39 170 44 38 26 78 328 112 60 200 12 398 331 
FRA03802 1846 12355 1363 16 54 41 43 7 39 20 97 61 11 64 15 23 57 15 40 18 46 136 84 25 110 6 214 121 
FRA03903 1878 9169 1084 19 61 15 24 7 27 12 43 59 3 58 7 8 99 20 19 5 46 106 44 14 99 7 161 121 
FRA04001 1878 21756 2026 18 18 47 59 57 65 60 97 297 21 98 34 25 176 73 11 12 65 172 44 13 161 37 196 170 
FRA04002 1898 9891 972 8 16 44 53 21 46 12 61 98 8 76 8 18 53 14 6 11 20 106 16 3 50 26 119 79 
FRA04102 1863 10439 1254 5 36 12 28 7 30 10 53 66 1 100 6 5 102 11 12 11 183 90 20 15 36 11 295 109 
FRA04202 1912 107801 12608 96 1181 235 362 108 555 95 684 426 29 642 46 192 654 208 197 119 759 1272 694 343 812 110 1389 1400 
FRA04301 1847 32868 3170 19 196 59 178 66 96 38 156 162 26 203 27 12 182 29 22 19 181 286 93 51 165 31 521 352 
FRA04401 1916 22238 1920 3 9 28 72 25 45 2 85 59 17 112 6 40 208 7 15 2 160 239 45 6 77 8 499 151 
FRA04501 1908 4826 485 6 21 5 15 5 23 8 32 28 1 18 2 1 25 9 1 4 20 35 26 1 30 5 107 57 
FRA04601 1907 15953 1522 15 82 41 54 16 68 11 82 81 14 85 16 23 84 20 12 21 85 134 52 35 60 11 234 186 
FRA04701 1919 8219 825 14 58 15 17 10 39 7 44 42 2 45 5 8 53 12 5 10 44 93 33 13 42 13 118 83 
FRA04801 1909 6305 746 5 65 5 36 3 35 4 41 47 1 34 6 8 62 15 6 4 12 88 47 5 37 7 81 92 
FRA04901 1845 41867 4294 24 207 88 312 56 103 60 303 211 19 255 55 84 171 68 54 31 234 429 72 28 264 30 645 491 
FRA05101 1904 7532 604 2 29 4 26 9 20 5 42 36 13 33 3 4 39 13 7 7 12 46 27 4 47 22 91 63 
FRA05201 1856 5485 625 6 36 13 20 2 16 6 64 68 2 41 9 9 31 7 3 10 19 75 19 6 27 5 78 53 
FRA05301 1906 9585 912 2 3 73 32 9 28 11 70 85 5 67 4 12 61 10 9 2 73 45 27 2 72 2 147 61 
FRA05401 1849 20794 2867 17 223 82 92 19 115 47 187 174 11 93 63 8 170 32 44 15 168 240 53 17 197 23 356 421 
FRA05501 1910 8512 678 10 6 14 24 6 34 7 26 63 14 42 3 17 43 8 5 10 19 85 24 1 83 9 83 42 
FRA05602 1904 35191 3519 51 185 65 139 52 144 67 271 289 13 156 38 43 106 48 54 40 143 412 93 54 230 38 416 372 
FRA05702 1857 32835 3326 30 89 60 198 44 140 34 189 154 10 197 37 41 165 50 40 40 176 404 101 45 176 34 575 297 
FRA05801 1912 9370 1079 8 40 25 31 9 43 3 62 59 9 54 1 7 89 14 9 9 48 180 26 3 49 11 147 143 
FRA05901 1907 13026 988 9 41 21 42 7 22 10 24 46 3 111 4 8 67 8 23 7 69 79 71 13 67 16 166 54 
FRA06001 1902 10417 1171 9 63 25 37 5 40 29 67 84 6 59 15 29 60 16 19 3 37 116 43 21 59 7 176 146 
FRA06101 1848 10892 1135 12 83 23 31 13 41 10 83 94 13 40 10 10 40 21 10 8 42 128 62 24 64 16 165 92 
FRA06201 1845 8686 800 4 49 28 39 9 40 21 45 55 8 62 11 3 41 10 19 2 12 62 19 19 51 1 91 99 
FRA06301 1884 29071 3289 55 200 52 161 58 182 28 195 235 22 136 37 20 222 32 18 45 89 315 76 47 335 10 381 338 
FRA06401 1876 27168 2833 50 137 52 105 35 99 18 186 210 16 157 45 41 129 44 62 32 95 325 99 69 147 16 342 322 
FRA06501 1897 9603 1287 11 120 44 23 13 33 11 118 52 1 58 16 4 61 4 13 7 100 167 22 16 62 8 189 134 
FRA06601 1902 12898 1409 20 157 16 35 9 51 21 110 90 6 54 16 6 90 12 18 23 67 115 43 27 67 29 172 155 
FRA06701 1882 10840 1141 33 34 22 41 23 41 17 54 41 5 33 8 24 94 26 34 17 51 121 55 12 63 11 151 130 
FRA06801 1861 13591 1429 24 90 16 55 17 49 21 83 112 9 58 16 15 108 19 19 13 27 191 20 10 76 12 176 193 
FRA06901 1879 16301 2058 33 160 13 100 30 74 15 82 140 16 66 20 22 165 15 23 15 53 231 112 21 140 23 254 235 
FRA07001 1892 4658 383 2 20 8 11 1 11 7 27 21 1 35 5 5 9 8 8 2 28 46 16 2 16 3 55 36 
FRA07101 1856 7760 821 13 51 12 15 7 21 14 41 63 3 40 15 10 48 13 6 13 24 59 3 22 96 3 106 123 
FRA07201 1886 14192 1503 12 47 32 65 34 69 15 68 142 16 67 27 64 82 22 11 16 25 137 51 11 159 9 157 165 
FRA07301 1853 9094 985 11 84 28 40 11 24 8 50 50 5 41 10 22 42 8 9 13 52 95 21 26 72 8 134 121 
FRA07401 1910 20841 1910 23 54 47 100 18 113 17 95 114 21 94 16 18 130 15 17 18 82 245 44 7 130 31 255 206 
FRA07501 1897 27972 3381 23 149 73 110 23 103 21 216 194 20 157 58 29 286 44 38 41 67 464 52 24 193 48 475 473 
FRA07601 1913 40461 4414 17 157 161 231 30 198 33 249 290 13 440 34 39 200 37 41 25 246 514 54 25 318 16 655 391 
